IND,TOK,DATE,SHOT,TIME,TAUTH,IP,BT,NEL,PLTH,RGEO,DELTA1,KAPPAA,EPS,MEFF
6,ASDEX,19820622,5980,1.205,0.0340012079862671,0.2959,2.205,3.789,1.86996,1.694,1,0.97509162766709,0.242089728453365,1.5
7,ASDEX,19820622,5980,1.224,0.0326808003368144,0.2952,2.205,3.734,2.02426,1.684,1,0.972232543862132,0.244239904988124,1.5
12,ASDEX,19820622,5982,1.188,0.0425007634102232,0.2971,2.205,3.41,1.13206666666667,1.693,1,0.989248365465662,0.238806851742469,1.5
13,ASDEX,19820622,5982,1.216,0.0466059156832005,0.2959,2.205,3.775,1.37609666666667,1.693,1,0.974708486652552,0.242350856467809,1.5
14,ASDEX,19820622,5982,1.244,0.0343411020250562,0.2942,2.204,3.847,2.03303,1.685,1,0.969011507858413,0.244925816023739,1.5
19,ASDEX,19820622,5996,1.183,0.0323751271231852,0.2969,2.202,3.363,1.32954333333333,1.687,1,0.994388542994193,0.238470657972733,1.5
20,ASDEX,19820622,5996,1.209,0.0307472015248457,0.2963,2.204,3.418,1.67058433333333,1.685,1,0.986206482002889,0.240712166172107,1.5
21,ASDEX,19820622,5996,1.234,0.0270203701689861,0.2949,2.204,3.445,2.03212,1.682,1,0.984062140488681,0.241617122473246,1.5
26,ASDEX,19820622,6002,1.183,0.0282163122451079,0.2969,2.205,3.378,1.57174333333333,1.689,1,0.994388542994193,0.238188277087034,1.5
28,ASDEX,19820622,6002,1.214,0.0282152969383712,0.2969,2.204,3.558,2.029116,1.689,1,0.981828667565686,0.241148608644168,1.5
34,ASDEX,19820622,6009,1.19,0.0301978936446815,0.2975,2.205,3.634,1.63994666666667,1.697,1,0.990728727086466,0.237831467295227,1.5
35,ASDEX,19820622,6009,1.2,0.0242693826536794,0.2959,2.205,3.499,2.07998,1.686,1,0.988071209194611,0.240035587188612,1.5
40,ASDEX,19820622,6011,1.179,0.0267062395777436,0.2969,2.205,3.269,1.50051,1.691,1,0.996583364934873,0.237315198107629,1.5
41,ASDEX,19820622,6011,1.217,0.0410367002743116,0.2966,2.205,3.713,1.4345,1.697,1,0.980085442869435,0.240483205657042,1.5
42,ASDEX,19820622,6011,1.254,0.0327377475574664,0.2952,2.205,3.767,2.01074,1.686,1,0.971379474884167,0.244128113879004,1.5
49,ASDEX,19820622,6023,1.214,0.0266684497264734,0.2958,2.205,3.56,2.05172,1.685,1,0.983869413865005,0.241186943620178,1.5
54,ASDEX,19820624,6053,1.184,0.0380920608348487,0.2977,2.204,3.864,1.32384866666667,1.697,1,0.991320141488098,0.237713612256924,1.5
