group,estimator,score,n_train_rows,n_held_out_rows,mahalanobis,n_features_outside_train_range,fraction_above_train_max,fraction_below_train_min,log_target_headroom,prediction_bounded_by_train_range
Afrosoricida,kleiber,0.5573541347020099,530,11,0.33135337195640774,0,0.0,0.0,-5.47226439780313,True
Afrosoricida,ols_loglinear,0.5426240674608092,530,11,0.33135337195640774,0,0.0,0.0,-5.47226439780313,True
Afrosoricida,random_forest,0.572565314355444,530,11,0.33135337195640774,0,0.0,0.0,-5.47226439780313,True
Afrosoricida,hist_gradient_boosting,0.547085275210065,530,11,0.33135337195640774,0,0.0,0.0,-5.47226439780313,True
Afrosoricida,mean_baseline,1.1271283057615629,530,11,0.33135337195640774,0,0.0,0.0,-5.47226439780313,True
Carnivora,kleiber,0.3743012139641406,491,50,2.0486107464577064,0,0.16,0.0,1.5750934857446772,False
Carnivora,ols_loglinear,0.4964120692718466,491,50,2.0486107464577064,0,0.16,0.0,1.5750934857446772,False
Carnivora,random_forest,0.7103584953846869,491,50,2.0486107464577064,0,0.16,0.0,1.5750934857446772,True
Carnivora,hist_gradient_boosting,0.8890821933141091,491,50,2.0486107464577064,0,0.16,0.0,1.5750934857446772,True
Carnivora,mean_baseline,3.126381531220222,491,50,2.0486107464577064,0,0.16,0.0,1.5750934857446772,True
Chiroptera,kleiber,0.3280759925796494,465,76,0.852731339577732,0,0.0,0.013157894736842105,-3.6796340109461534,True
Chiroptera,ols_loglinear,0.3634141369899911,465,76,0.852731339577732,0,0.0,0.013157894736842105,-3.6796340109461534,True
Chiroptera,random_forest,0.5191866339595249,465,76,0.852731339577732,0,0.0,0.013157894736842105,-3.6796340109461534,True
Chiroptera,hist_gradient_boosting,0.4391132007252522,465,76,0.852731339577732,0,0.0,0.013157894736842105,-3.6796340109461534,True
Chiroptera,mean_baseline,1.7159216466864984,465,76,0.852731339577732,0,0.0,0.013157894736842105,-3.6796340109461534,True
Lagomorpha,kleiber,0.42874630499275335,531,10,0.9802539076879488,0,0.0,0.0,-2.711130124338905,True
Lagomorpha,ols_loglinear,0.5351397852962699,531,10,0.9802539076879488,0,0.0,0.0,-2.711130124338905,True
Lagomorpha,random_forest,0.5890022441859116,531,10,0.9802539076879488,0,0.0,0.0,-2.711130124338905,True
Lagomorpha,hist_gradient_boosting,0.5581425475150654,531,10,0.9802539076879488,0,0.0,0.0,-2.711130124338905,True
Lagomorpha,mean_baseline,2.1024619305894756,531,10,0.9802539076879488,0,0.0,0.0,-2.711130124338905,True
Lypothyphla,kleiber,0.7123514794487662,503,38,0.859347483639753,0,0.0,0.0,-4.145116103109827,True
Lypothyphla,ols_loglinear,0.617696139394899,503,38,0.859347483639753,0,0.0,0.0,-4.145116103109827,True
Lypothyphla,random_forest,0.7134844449526241,503,38,0.859347483639753,0,0.0,0.0,-4.145116103109827,True
Lypothyphla,hist_gradient_boosting,0.609254191978247,503,38,0.859347483639753,0,0.0,0.0,-4.145116103109827,True
Lypothyphla,mean_baseline,1.2798792086595285,503,38,0.859347483639753,0,0.0,0.0,-4.145116103109827,True
Primates,kleiber,0.3756949712390792,522,19,0.7944486631887152,0,0.0,0.0,-2.0328233987920736,True
Primates,ols_loglinear,0.3848153029748385,522,19,0.7944486631887152,0,0.0,0.0,-2.0328233987920736,True
Primates,random_forest,0.34488520185669186,522,19,0.7944486631887152,0,0.0,0.0,-2.0328233987920736,True
Primates,hist_gradient_boosting,0.3600626447604322,522,19,0.7944486631887152,0,0.0,0.0,-2.0328233987920736,True
Primates,mean_baseline,1.6617745171758644,522,19,0.7944486631887152,0,0.0,0.0,-2.0328233987920736,True
Rodentia,kleiber,0.34442277865429965,275,266,0.3283655314837364,0,0.0,0.0,-1.5750934857446772,True
Rodentia,ols_loglinear,0.3143173547835958,275,266,0.3283655314837364,0,0.0,0.0,-1.5750934857446772,True
Rodentia,random_forest,0.3895044998947123,275,266,0.3283655314837364,0,0.0,0.0,-1.5750934857446772,True
Rodentia,hist_gradient_boosting,0.34399945738512266,275,266,0.3283655314837364,0,0.0,0.0,-1.5750934857446772,True
Rodentia,mean_baseline,1.1499874617360182,275,266,0.3283655314837364,0,0.0,0.0,-1.5750934857446772,True
Xenarthra,kleiber,0.7692114358907532,526,15,1.548526225067704,0,0.0,0.0,-2.353789207686102,True
Xenarthra,ols_loglinear,0.5967317791568388,526,15,1.548526225067704,0,0.0,0.0,-2.353789207686102,True
Xenarthra,random_forest,0.6195476257256067,526,15,1.548526225067704,0,0.0,0.0,-2.353789207686102,True
Xenarthra,hist_gradient_boosting,0.583489899961369,526,15,1.548526225067704,0,0.0,0.0,-2.353789207686102,True
