model_name,split,scope,n_rows,nominal_coverage,empirical_coverage,median_half_width_log,median_interval_factor,rmsle,is_blind,feature_mahalanobis
ipb98y2_analytic,grouped_cv,ASDEX,431,0.9,0.974477958236659,0.32730664922323993,1.3872268039858018,0.13144904229087115,False,5.187342932450245
ipb98y2_analytic,grouped_cv,AUG,1377,0.9,0.9114015976761075,0.32730664922323993,1.3872268039858018,0.19736765638784137,False,1.2399939601552896
ipb98y2_analytic,grouped_cv,AUGW,767,0.9,0.910039113428944,0.32730664922323993,1.3872268039858018,0.21832511500257962,False,1.6457652294950753
ipb98y2_analytic,grouped_cv,CMOD,45,0.9,0.9777777777777777,0.32730664922323993,1.3872268039858018,0.1193554844659295,False,6.937744525296737
ipb98y2_analytic,grouped_cv,COMPASS,15,0.9,0.8,0.32730664922323993,1.3872268039858018,0.2525074590966852,False,
ipb98y2_analytic,grouped_cv,D3D,388,0.9,0.7654639175257731,0.32730664922323993,1.3872268039858018,0.25193607071646484,False,1.1410663145491857
ipb98y2_analytic,grouped_cv,JET,1762,0.9,0.9653802497162316,0.32730664922323993,1.3872268039858018,0.14786640407873294,False,2.189768389167002
ipb98y2_analytic,grouped_cv,JETILW,866,0.9,0.7702078521939953,0.32730664922323993,1.3872268039858018,0.256629652478898,False,1.7024302608804454
ipb98y2_analytic,grouped_cv,JFT2M,69,0.9,1.0,0.32730664922323993,1.3872268039858018,0.0945692941473851,False,5.434784443628557
ipb98y2_analytic,grouped_cv,JT60U,100,0.9,0.71,0.3252016904082917,1.3843098198392259,0.27484798427571655,False,2.483394451114324
ipb98y2_analytic,grouped_cv,MAST,39,0.9,1.0,0.32730664922323993,1.3872268039858018,0.13643102648798278,False,5.375921749336576
ipb98y2_analytic,grouped_cv,NSTX,185,0.9,0.8756756756756757,0.32730664922323993,1.3872268039858018,0.22222938608255652,False,7.8308993076380045
ipb98y2_analytic,grouped_cv,PBXM,59,0.9,0.9830508474576272,0.32730664922323993,1.3872268039858018,0.17167843282810225,False,10.18020691511417
ipb98y2_analytic,grouped_cv,PDX,97,0.9,0.8350515463917526,0.32730664922323993,1.3872268039858018,0.2270798419649088,False,4.045943810544166
ipb98y2_analytic,grouped_cv,START,8,0.9,0.875,0.3337392874626586,1.3961790947261488,0.22868091683041314,False,
ipb98y2_analytic,grouped_cv,TCV,11,0.9,0.18181818181818182,0.3223703286146038,1.380395881407285,0.49901403237527603,False,
ipb98y2_analytic,grouped_cv,TDEV,7,0.9,1.0,0.32730664922323993,1.3872268039858018,0.0923142827882499,False,
ipb98y2_analytic,grouped_cv,TFTR,2,0.9,1.0,0.33778344617005607,1.4018368973838984,0.17906413557770298,False,
mean_baseline,grouped_cv,ASDEX,431,0.9,0.62877030162413,1.3878787702168522,4.006342659744886,1.3204808934462289,True,5.187342932450245
mean_baseline,grouped_cv,AUG,1377,0.9,0.9956427015250545,1.3878787702168522,4.006342659744886,0.4430062929680071,True,1.2399939601552896
mean_baseline,grouped_cv,AUGW,767,0.9,0.9687092568448501,1.3878787702168522,4.006342659744886,0.6579343793691728,True,1.6457652294950753
mean_baseline,grouped_cv,CMOD,45,0.9,1.0,1.3878787702168522,4.006342659744886,0.7419311776522065,True,6.937744525296737
mean_baseline,grouped_cv,COMPASS,15,0.9,0.0,1.3878787702168522,4.006342659744886,2.2696721435958165,True,
mean_baseline,grouped_cv,D3D,388,0.9,1.0,1.3878787702168522,4.006342659744886,0.3977050201537883,True,1.1410663145491857
mean_baseline,grouped_cv,JET,1762,0.9,0.8706015891032917,1.3878787702168522,4.006342659744886,1.0555960144140755,True,2.189768389167002
mean_baseline,grouped_cv,JETILW,866,0.9,1.0,1.3878787702168522,4.006342659744886,0.5203465904566122,True,1.7024302608804454
mean_baseline,grouped_cv,JFT2M,69,0.9,0.14492753623188406,1.3878787702168522,4.006342659744886,1.6090276847267893,True,5.434784443628557
mean_baseline,grouped_cv,JT60U,100,0.9,1.0,1.3931195589137082,4.027394170147553,0.47598369899370757,True,2.483394451114324
mean_baseline,grouped_cv,MAST,39,0.9,0.7948717948717948,1.3878787702168522,4.006342659744886,1.2355893574092638,True,5.375921749336576
mean_baseline,grouped_cv,NSTX,185,0.9,0.7243243243243244,1.3878787702168522,4.006342659744886,1.2879952084128872,True,7.8308993076380045
mean_baseline,grouped_cv,PBXM,59,0.9,0.9661016949152542,1.3878787702168522,4.006342659744886,0.9960152419196577,True,10.18020691511417
mean_baseline,grouped_cv,PDX,97,0.9,0.5257731958762887,1.3878787702168522,4.006342659744886,1.4154668628573295,True,4.045943810544166
