model_name,split,scope,n_rows,nominal_coverage,empirical_coverage,median_half_width_log,median_interval_factor,rmsle,is_blind,method,arm
ipb98y2_analytic,leave_one_tokamak_out,JET,1762,0.9,0.9807037457434733,0.3706488022586636,1.4486742129250407,0.14786640407873294,False,split,lomo
ipb98y2_analytic,leave_one_tokamak_out,AUG,1377,0.9,0.9186637618010167,0.3352398508098513,1.3982757225698461,0.1973676563878414,False,split,lomo
ipb98y2_analytic,leave_one_tokamak_out,JETILW,866,0.9,0.663972286374134,0.2820037985281425,1.3257837560041352,0.256629652478898,False,split,lomo
ipb98y2_analytic,leave_one_tokamak_out,AUGW,767,0.9,0.9048239895697523,0.3250114506465456,1.3840464941172224,0.21832511500257962,False,split,lomo
ipb98y2_analytic,leave_one_tokamak_out,ASDEX,431,0.9,0.9837587006960556,0.3414739751122554,1.4070199752926589,0.13144904229087115,False,split,lomo
ipb98y2_analytic,leave_one_tokamak_out,D3D,388,0.9,0.7835051546391752,0.33483558553421977,1.3977105624944464,0.25193607071646484,False,split,lomo
ipb98y2_analytic,leave_one_tokamak_out,NSTX,185,0.9,0.8648648648648649,0.31840008117551566,1.3749262333071561,0.22222938608255652,False,split,lomo
ipb98y2_analytic,leave_one_tokamak_out,JT60U,100,0.9,0.73,0.33620713984501416,1.3996289137023856,0.2748479842757165,False,split,lomo
ipb98y2_analytic,leave_one_tokamak_out,PDX,97,0.9,0.8350515463917526,0.32730664922323993,1.3872268039858018,0.2270798419649088,False,split,lomo
ipb98y2_analytic,leave_one_tokamak_out,JFT2M,69,0.9,1.0,0.3302788711445106,1.3913560834299512,0.0945692941473851,False,split,lomo
ipb98y2_analytic,leave_one_tokamak_out,PBXM,59,0.9,1.0,0.33455902033576757,1.3973240578446824,0.17167843282810225,False,split,lomo
ipb98y2_analytic,leave_one_tokamak_out,CMOD,45,0.9,0.9777777777777777,0.32986229935832667,1.3907766044467362,0.1193554844659295,False,split,lomo
ipb98y2_analytic,leave_one_tokamak_out,MAST,39,0.9,1.0,0.34824381374198454,1.4165775887218357,0.1364310264879828,False,split,lomo
ridge_loglinear,leave_one_tokamak_out,JET,1762,0.9,0.9148694665153235,0.3161369117110504,1.3718180607273345,0.1960476148544634,True,split,lomo
ridge_loglinear,leave_one_tokamak_out,AUG,1377,0.9,0.7748729121278141,0.2752536571985571,1.316864664708096,0.21596717881964975,True,split,lomo
ridge_loglinear,leave_one_tokamak_out,JETILW,866,0.9,0.766743648960739,0.2770938255364219,1.3192901483339958,0.2150425739316196,True,split,lomo
