model_name,lodo_mean_rmsle,lolo_mean_rmsle,n_devices,n_worse_than_power_law,mean_difference_vs_power_law
mean_ipb98_rbf,0.18606015402866402,0.18888783207939908,11,3,-0.025419928527100562
powerlaw_collisionless,0.20295466000909415,0.20557300361029182,11,5,-0.008525422546670392
powerlaw_kadomtsev,0.21051205062636508,0.21049771097157016,11,7,-0.00096803192939952
ridge_loglinear,0.2114800825557646,0.21407599766914132,11,0,0.0
gp_linear,0.21153087919924382,0.21407197222211438,11,8,5.079664347922765e-05
powerlaw_free,0.2115615892137134,0.2140645545338596,11,8,8.150665794881803e-05
mean_powerlaw_rbf,0.2116162669993474,0.21238501237773205,11,3,0.0001361844435828561
gp_linear_rbf,0.21892752670411555,0.21823624032440053,11,5,0.007447444148350974
powerlaw_electrostatic,0.22616558441921936,0.2410829154710756,11,8,0.014685501863454796
hist_gradient_boosting,0.40872688274241004,0.3592919101020166,11,10,0.19724680018664548
random_forest,0.5266735840073635,0.46489304181310953,11,11,0.31519350145159897
gp_rbf,0.6925573422001432,0.5409673537739749,11,11,0.48107725964437864
mean_constant_rbf,0.6925573422024871,0.5409673537754686,11,11,0.48107725964672254
