arm,model_name,method,empirical_coverage,median_interval_factor,n_rows
leave_one_device_out,ipb98y2_analytic,split,0.8995957962813258,1.39039645733302,6185
leave_one_device_out,ridge_loglinear,split,0.8546483427647534,1.3441200054491254,6185
leave_one_device_out,random_forest,split,0.31479385610347616,1.2311596658866946,6185
leave_one_device_out,hist_gradient_boosting,split,0.3822150363783347,1.2353346615733602,6185
leave_one_device_out,powerlaw_collisionless,split,0.880517380759903,1.3429586740183985,6185
leave_one_device_out,ipb98y2_analytic,machine_cv,0.9010509296685529,1.39222309509147,6185
leave_one_device_out,ridge_loglinear,machine_cv,0.9236863379143088,1.3977482647175261,6185
leave_one_device_out,random_forest,machine_cv,0.8388035569927244,2.463492408479188,6185
leave_one_device_out,hist_gradient_boosting,machine_cv,0.773322554567502,2.288539119426797,6185
leave_one_device_out,powerlaw_collisionless,machine_cv,0.9223928860145514,1.3911464866608232,6185
leave_one_device_out,ipb98y2_analytic,machine_cv_distance,0.8981406628940987,1.3881300530984266,6185
leave_one_device_out,ridge_loglinear,machine_cv_distance,0.9296685529506872,1.4291851725267495,6185
leave_one_device_out,random_forest,machine_cv_distance,0.8753435731608731,2.7621809913112307,6185
leave_one_device_out,hist_gradient_boosting,machine_cv_distance,0.7954729183508489,2.534104746655211,6185
leave_one_device_out,powerlaw_collisionless,machine_cv_distance,0.9267582861762328,1.4164035495834622,6185
size_cut_coverage,ipb98y2_analytic,split,0.8831501831501831,1.3767225984697504,2730
size_cut_coverage,ridge_loglinear,split,0.7047619047619048,1.3717631084928388,2730
size_cut_coverage,random_forest,split,0.02673992673992674,1.2592460250656583,2730
size_cut_coverage,hist_gradient_boosting,split,0.0029304029304029304,1.2478603852531214,2730
size_cut_coverage,powerlaw_collisionless,split,0.9142857142857143,1.3632745222645404,2730
size_cut_coverage,ipb98y2_analytic,machine_cv,0.8879120879120879,1.3843892923132015,2730
size_cut_coverage,ridge_loglinear,machine_cv,0.7827838827838828,1.4382812281877542,2730
size_cut_coverage,random_forest,machine_cv,0.4139194139194139,2.1519084195266927,2730
size_cut_coverage,hist_gradient_boosting,machine_cv,0.12014652014652015,1.8400770865970795,2730
size_cut_coverage,powerlaw_collisionless,machine_cv,0.9509157509157509,1.4336888256525953,2730
size_cut_coverage,ipb98y2_analytic,machine_cv_distance,0.8622710622710623,1.3568084997392096,2730
size_cut_coverage,ridge_loglinear,machine_cv_distance,0.8351648351648352,1.4763025796143605,2730
size_cut_coverage,random_forest,machine_cv_distance,0.5703296703296703,2.4476018058517837,2730
size_cut_coverage,hist_gradient_boosting,machine_cv_distance,0.20622710622710622,1.99529431857586,2730
size_cut_coverage,powerlaw_collisionless,machine_cv_distance,0.9326007326007326,1.4018066669533928,2730
