exponent_source,constraint_model,n_constraints,residual_norm,max_abs_violation
ipb98y2_published,kadomtsev,1,0.000957826285221286,0.000957826285221286
ipb98y2_published,collisionless,2,0.004548588261473445,0.004544920854791468
ipb98y2_published,electrostatic,3,0.5013980454688666,0.37399999999999956
free_refit,kadomtsev,1,0.003121951205014184,0.003121951205014184
free_refit,collisionless,2,0.06441102623613554,0.06307754516382164
free_refit,electrostatic,3,0.8166906341923642,0.6208957923963215
itpa20_published,kadomtsev,1,0.014654742163883683,0.014654742163883683
itpa20_published,collisionless,2,0.08863991472671102,0.08831055399122506
itpa20_published,electrostatic,3,0.745285851200732,0.5781999999999997
itpa20_il_published,kadomtsev,1,0.014175829021273179,0.014175829021273179
itpa20_il_published,collisionless,2,0.10554031751273843,0.10481135847674544
itpa20_il_published,electrostatic,3,0.8527083648912771,0.6605333333333331
