model_name,tokamak,n_held_out_rows,rmsle,r2_log,mae_s,is_blind
ipb98y2_analytic,JET,1762,0.14786640407873294,0.8651906375969376,0.04008943635148512,False
mean_baseline,JET,1762,1.4160599734986126,-11.36358235064167,0.2721470340946211,True
ridge_loglinear,JET,1762,0.1979097980970751,0.758500840773906,0.05720913257823337,True
random_forest,JET,1762,0.47798512070328486,-0.40867169026510974,0.12794117115762435,True
hist_gradient_boosting,JET,1762,0.4867978709251852,-0.46109472174318844,0.1306848224359706,True
powerlaw_free,JET,1762,0.19739009060922644,0.7597675201450662,0.05706425390149032,True
powerlaw_kadomtsev,JET,1762,0.1784217734006395,0.8037196901202356,0.0524728374659175,True
powerlaw_collisionless,JET,1762,0.17756789401081774,0.805593885899319,0.0518544874214467,True
powerlaw_electrostatic,JET,1762,0.2744842378167505,0.5354677692474024,0.08036712752263746,True
hybrid_gbm_s1,JET,1762,0.23832157779374782,0.6498067566761868,0.06951641800505956,True
ipb98y2_analytic,AUG,1377,0.1973676563878414,0.6567435503035044,0.014821823467575594,False
mean_baseline,AUG,1377,0.5014227191370254,-1.215515298386586,0.04064398252953401,True
ridge_loglinear,AUG,1377,0.21552600328195384,0.5906770563026931,0.016697092862935747,True
random_forest,AUG,1377,0.27930960871770744,0.3125541560448576,0.020491376539165572,True
hist_gradient_boosting,AUG,1377,0.2812302860575839,0.3030671827480822,0.02010304886970401,True
powerlaw_free,AUG,1377,0.21563146324105797,0.5902763831458115,0.016704107720762248,True
powerlaw_kadomtsev,AUG,1377,0.2114861219653455,0.6058781750544312,0.016402254810016368,True
powerlaw_collisionless,AUG,1377,0.2130865390176615,0.5998905867182983,0.01643471197312272,True
powerlaw_electrostatic,AUG,1377,0.26493535767107484,0.38149020438441394,0.019620255264415316,True
hybrid_gbm_s1,AUG,1377,0.21548728993798733,0.5908240904099298,0.016690266172149425,True
ipb98y2_analytic,JETILW,866,0.256629652478898,0.13749508121821863,0.05332775975454151,False
mean_baseline,JETILW,866,0.5796072741547035,-3.399624009395616,0.0854752840865713,True
ridge_loglinear,JETILW,866,0.21586955727909324,0.389717789674932,0.04216136888941527,True
random_forest,JETILW,866,0.31834579995994233,-0.32722990225589443,0.061752714555080634,True
hist_gradient_boosting,JETILW,866,0.2439381925302502,0.2206949115732193,0.04743717671297204,True
powerlaw_free,JETILW,866,0.21577155333786885,0.39027179539817236,0.04214682212951738,True
powerlaw_kadomtsev,JETILW,866,0.21578163305216844,0.39021482746556524,0.042190600174458304,True
powerlaw_collisionless,JETILW,866,0.19962459478321454,0.47811357071434946,0.03877343337226076,True
powerlaw_electrostatic,JETILW,866,0.2941534277922316,-0.13317174226389872,0.06266645519265072,True
hybrid_gbm_s1,JETILW,866,0.21436736701417983,0.3981818847326627,0.04280141096353421,True
ipb98y2_analytic,AUGW,767,0.21832511500257962,0.6044299823384836,0.014391729855872958,False
mean_baseline,AUGW,767,0.7285625526189853,-3.4050380271324254,0.05987608122901125,True
ridge_loglinear,AUGW,767,0.2074398929329735,0.6428912177897801,0.013131906920709865,True
random_forest,AUGW,767,0.21949249274400942,0.6001884712818246,0.015500847296134969,True
hist_gradient_boosting,AUGW,767,0.21219271101172096,0.6263397548171405,0.014713616643866938,True
powerlaw_free,AUGW,767,0.20713577706369551,0.6439375241510857,0.013114869650206189,True
powerlaw_kadomtsev,AUGW,767,0.20392888401418666,0.6548773545788564,0.012817827743260015,True
powerlaw_collisionless,AUGW,767,0.20837592370210276,0.6396611837334016,0.01329595252793568,True
powerlaw_electrostatic,AUGW,767,0.2847349765698698,0.3271819886891023,0.018851419429113007,True
hybrid_gbm_s1,AUGW,767,0.20607574271019402,0.6475725569356439,0.01339865601585337,True
ipb98y2_analytic,ASDEX,431,0.13144904229087115,0.7497895916998001,0.003874747966695577,False
mean_baseline,ASDEX,431,1.4165006205202904,-28.055212579127588,0.10188523025602599,True
ridge_loglinear,ASDEX,431,0.1935999461699966,0.4572485611244721,0.005498660848115468,True
random_forest,ASDEX,431,0.5067383872546776,-2.7184173163467684,0.020079363481221784,True
hist_gradient_boosting,ASDEX,431,0.20697949141905117,0.3796380534742231,0.005472780705782539,True
powerlaw_free,ASDEX,431,0.19388676685108852,0.45563918410059456,0.005505460523437278,True
powerlaw_kadomtsev,ASDEX,431,0.19360700112929277,0.4572090036849923,0.005502293345333883,True
powerlaw_collisionless,ASDEX,431,0.19180343736003597,0.4672747387279602,0.005459263892024124,True
powerlaw_electrostatic,ASDEX,431,0.14083248808928683,0.7127922047603747,0.004056915653173118,True
hybrid_gbm_s1,ASDEX,431,0.24909956835717978,0.10146195765764165,0.006861633204209436,True
ipb98y2_analytic,D3D,388,0.25193607071646484,0.5820554734045065,0.024719660039280677,False
mean_baseline,D3D,388,0.3990225966873555,-0.048414261022921457,0.03658335664889075,True
ridge_loglinear,D3D,388,0.2512433460586729,0.5843506782544805,0.024186293337540417,True
random_forest,D3D,388,0.4059948133516858,-0.08537273971232184,0.037543844534112955,True
hist_gradient_boosting,D3D,388,0.24573867969801805,0.6023646560103164,0.024791134354654236,True
powerlaw_free,D3D,388,0.25131846261402035,0.5841021000281579,0.02419565334854427,True
powerlaw_kadomtsev,D3D,388,0.25132085072782195,0.5840941959830387,0.024195643060091015,True
powerlaw_collisionless,D3D,388,0.25670027397068007,0.5660990478733638,0.024595780089495225,True
powerlaw_electrostatic,D3D,388,0.3228729477300691,0.3135620966457865,0.028333251858649343,True
hybrid_gbm_s1,D3D,388,0.2332703333213184,0.641691625621764,0.023447970894809364,True
ipb98y2_analytic,NSTX,185,0.22222938608255652,0.21352223032522444,0.00582315778351345,False
mean_baseline,NSTX,185,1.3281769591843104,-27.09282167329282,0.09328834651824526,True
ridge_loglinear,NSTX,185,0.28907712742060465,-0.33079432249033114,0.007526765242302527,True
random_forest,NSTX,185,0.857376361499742,-10.706484367601268,0.04293238555369702,True
hist_gradient_boosting,NSTX,185,0.6857023422989421,-6.4878087691517425,0.0282319697303056,True
powerlaw_free,NSTX,185,0.2890486616024862,-0.33053224513871426,0.007523630919416225,True
powerlaw_kadomtsev,NSTX,185,0.2892702834915873,-0.3325733416974992,0.007531524943877663,True
powerlaw_collisionless,NSTX,185,0.2791814830913803,-0.24124267480149642,0.007274653450734362,True
powerlaw_electrostatic,NSTX,185,0.36699301108626453,-1.1448605725991556,0.011639997600260875,True
hybrid_gbm_s1,NSTX,185,0.2664649115114018,-0.13074203093096326,0.007061928329492848,True
ipb98y2_analytic,JT60U,100,0.2748479842757165,0.33242406834708016,0.05207984580029731,False
mean_baseline,JT60U,100,0.4782029879765733,-1.0208781529655213,0.06662185225844898,True
ridge_loglinear,JT60U,100,0.2853670935561867,0.28034666537844655,0.056359094054382934,True
random_forest,JT60U,100,0.29120318766011555,0.2506101484711377,0.05281258298844948,True
hist_gradient_boosting,JT60U,100,0.30701737969020504,0.16700675486590866,0.048244626300737135,True
powerlaw_free,JT60U,100,0.2854367449869338,0.27999532142403805,0.056381303688779374,True
powerlaw_kadomtsev,JT60U,100,0.28397095546858975,0.2873711447585908,0.05602452823570214,True
powerlaw_collisionless,JT60U,100,0.26841848271453983,0.363291874433738,0.051868347205692354,True
powerlaw_electrostatic,JT60U,100,0.20552280715606208,0.6267192410901352,0.03144493195928752,True
hybrid_gbm_s1,JT60U,100,0.2724290813218435,0.34412286660498426,0.05238053161770723,True
ipb98y2_analytic,PDX,97,0.2270798419649088,0.43089813858658277,0.0054644093825862525,False
mean_baseline,PDX,97,1.439568117800691,-21.87163854454974,0.09478058577330609,True
ridge_loglinear,PDX,97,0.23277730351044704,0.4019822074861821,0.0058925259782870165,True
random_forest,PDX,97,0.40722559027110555,-0.8302185906926545,0.011402095336888912,True
hist_gradient_boosting,PDX,97,0.3227021134914512,-0.1493080775259472,0.008224733415130917,True
powerlaw_free,PDX,97,0.2329019329710025,0.40134167607964844,0.005897787939903451,True
powerlaw_kadomtsev,PDX,97,0.23297897582322008,0.40094554391606907,0.005902003759897583,True
powerlaw_collisionless,PDX,97,0.23116730498771174,0.4102259505821304,0.0058602537449694795,True
powerlaw_electrostatic,PDX,97,0.23938372749503928,0.3675559809527724,0.005497991623761069,True
hybrid_gbm_s1,PDX,97,0.2197348103745653,0.4671185946136154,0.005242939636084368,True
ipb98y2_analytic,JFT2M,69,0.0945692941473851,0.8238823937260398,0.0021012171542505115,False
mean_baseline,JFT2M,69,1.628585559883982,-51.23043446982283,0.10076738251203782,True
ridge_loglinear,JFT2M,69,0.09362793859749098,0.8273711401123618,0.001970894040318462,True
random_forest,JFT2M,69,0.4502539255431945,-2.992247842011669,0.013091761171365202,True
hist_gradient_boosting,JFT2M,69,0.23418446081860614,-0.0799872481676791,0.003816649306802119,True
powerlaw_free,JFT2M,69,0.09369683290304877,0.8271169954356812,0.0019740203123190547,True
powerlaw_kadomtsev,JFT2M,69,0.0938967735566985,0.8263783744897222,0.0019826245903670947,True
powerlaw_collisionless,JFT2M,69,0.09993032255390033,0.8033485932739258,0.0022160652548333416,True
powerlaw_electrostatic,JFT2M,69,0.14046367493725298,0.6114646553390806,0.003250422816517809,True
hybrid_gbm_s1,JFT2M,69,0.23116465274654066,-0.05231396343323058,0.0052065529488520244,True
ipb98y2_analytic,PBXM,59,0.17167843282810225,0.3138893502354153,0.006784458693358055,False
mean_baseline,PBXM,59,1.0079964906077226,-22.65269983035619,0.07783469389810485,True
ridge_loglinear,PBXM,59,0.27410976868517906,-0.7490881860194585,0.011784094680070275,True
random_forest,PBXM,59,0.7273766020265496,-11.31633047749103,0.023997340247039672,True
hist_gradient_boosting,PBXM,59,0.5587897073538394,-6.268745716782309,0.020089966214787185,True
powerlaw_free,PBXM,59,0.2748169157405595,-0.7581244052852665,0.011833461026882201,True
powerlaw_kadomtsev,PBXM,59,0.2731347233227824,-0.7366668331292487,0.011716168764832441,True
powerlaw_collisionless,PBXM,59,0.2742531137465971,-0.7509180274891469,0.01180123928372456,True
powerlaw_electrostatic,PBXM,59,0.18812464619774652,0.17613875757376096,0.008128658582879866,True
hybrid_gbm_s1,PBXM,59,0.27134654978378875,-0.714001855676984,0.011582458423759259,True
ipb98y2_analytic,CMOD,45,0.1193554844659295,0.4744586991937786,0.005763779410542274,False
mean_baseline,CMOD,45,0.7467272215466353,-19.570557356722187,0.06395019685316979,True
ridge_loglinear,CMOD,45,0.17281698025423575,-0.10178007996759031,0.00858195996811408,True
random_forest,CMOD,45,0.5214357323031032,-9.030525102305464,0.03852698202468062,True
