model_name,scope,n_train_machines,size_ratio,n_held_out_rows,rmsle,r2_log,mae_s,is_blind,n_train_rows,well_powered
ipb98y2_analytic,__pooled__,3,5.022898507903679,6160,0.1996221100506206,0.945227734638304,0.027155981731802857,False,68,False
mean_baseline,__pooled__,3,5.022898507903679,6160,1.66815663576347,-2.8248734850410813,0.1479383327448733,True,68,False
ridge_loglinear,__pooled__,3,5.022898507903679,6160,0.34526079416494704,0.8361532051636335,0.04917453034046254,True,68,False
random_forest,__pooled__,3,5.022898507903679,6160,1.7132484734000861,-3.0344480430526257,0.15012540278039171,True,68,False
hist_gradient_boosting,__pooled__,3,5.022898507903679,6160,1.5696282770302965,-2.3863905830686805,0.14100439776409796,True,68,False
powerlaw_free,__pooled__,3,5.022898507903679,6160,6.003556200580017,-48.54052228501551,8061928.246412993,True,68,False
powerlaw_kadomtsev,__pooled__,3,5.022898507903679,6160,5.019565644223316,-33.631850351097455,452026.80272038694,True,68,False
powerlaw_collisionless,__pooled__,3,5.022898507903679,6160,5.081900500338175,-34.497333853323816,560967.0910874938,True,68,False
powerlaw_electrostatic,__pooled__,3,5.022898507903679,6160,4.418329782950142,-25.832409705067054,44803.38288579048,True,68,False
hybrid_gbm_s1,__pooled__,3,5.022898507903679,6160,0.34955192101727905,0.8320551053634688,0.05104730006209376,True,68,False
ipb98y2_analytic,__pooled__,4,3.924837061543754,6121,0.1999607195714666,0.9446273552525486,0.027303850262391842,False,107,False
mean_baseline,__pooled__,4,3.924837061543754,6121,1.613371995645351,-2.604748036354585,0.14689659039731376,True,107,False
ridge_loglinear,__pooled__,4,3.924837061543754,6121,0.40085229219822743,0.7774771426295325,0.03773299002166343,True,107,False
random_forest,__pooled__,4,3.924837061543754,6121,1.1491864090586152,-0.8288868931205697,0.1271756400475472,True,107,False
hist_gradient_boosting,__pooled__,4,3.924837061543754,6121,1.1852544420285702,-0.9454902941009171,0.12827191762481063,True,107,False
powerlaw_free,__pooled__,4,3.924837061543754,6121,0.2855424306948738,0.8870861567990577,0.04070843471320557,True,107,False
powerlaw_kadomtsev,__pooled__,4,3.924837061543754,6121,0.2572788917507441,0.9083327510378717,0.034148116478501175,True,107,False
powerlaw_collisionless,__pooled__,4,3.924837061543754,6121,0.2601614581626361,0.9062671544904161,0.036538999542460635,True,107,False
powerlaw_electrostatic,__pooled__,4,3.924837061543754,6121,0.3115968834842391,0.8655403130234129,0.047474814601843905,True,107,False
hybrid_gbm_s1,__pooled__,4,3.924837061543754,6121,0.4046161835597978,0.773278668197344,0.03807008098683604,True,107,False
ipb98y2_analytic,__pooled__,5,3.924837061543754,6114,0.20005077117901804,0.9442994876124348,0.02733360298491813,False,114,False
mean_baseline,__pooled__,5,3.924837061543754,6114,1.6448787695367169,-2.7657069585492438,0.14805482733681313,True,114,False
ridge_loglinear,__pooled__,5,3.924837061543754,6114,0.35383634628797933,0.825745655702863,0.035941572112258166,True,114,False
random_forest,__pooled__,5,3.924837061543754,6114,1.1723220346912544,-0.9128133157988567,0.12880979400799117,True,114,False
hist_gradient_boosting,__pooled__,5,3.924837061543754,6114,1.16572716802224,-0.8913528869406062,0.12792076060472346,True,114,False
powerlaw_free,__pooled__,5,3.924837061543754,6114,0.40009715402193163,0.7772028378336294,0.06343628698782477,True,114,False
powerlaw_kadomtsev,__pooled__,5,3.924837061543754,6114,0.2681989382369255,0.8998864552376594,0.0325783112452031,True,114,False
powerlaw_collisionless,__pooled__,5,3.924837061543754,6114,0.2670547193734766,0.9007388631599224,0.03432831567883358,True,114,False
powerlaw_electrostatic,__pooled__,5,3.924837061543754,6114,0.3131037718014312,0.8635557214836308,0.047998773744994255,True,114,False
hybrid_gbm_s1,__pooled__,5,3.924837061543754,6114,0.35127687590199236,0.8282574709828844,0.035797742495081296,True,114,False
ipb98y2_analytic,__pooled__,6,3.682842287694974,5929,0.19931904239829404,0.9420274432869793,0.028004784020887078,False,299,False
mean_baseline,__pooled__,6,3.682842287694974,5929,1.606484257931244,-2.76597834617722,0.1503227654911111,True,299,False
ridge_loglinear,__pooled__,6,3.682842287694974,5929,0.5289298262239039,0.5917548959825645,0.09047621855890416,True,299,False
random_forest,__pooled__,6,3.682842287694974,5929,1.553796235402906,-2.5230028936326407,0.1482631726054519,True,299,False
hist_gradient_boosting,__pooled__,6,3.682842287694974,5929,1.470614684191647,-2.155895879386697,0.1458088992472974,True,299,False
powerlaw_free,__pooled__,6,3.682842287694974,5929,0.9708197058223564,-0.3753145460548508,0.26880887578457807,True,299,False
powerlaw_kadomtsev,__pooled__,6,3.682842287694974,5929,0.2742415587403794,0.8902533158403875,0.03596646929293266,True,299,False
powerlaw_collisionless,__pooled__,6,3.682842287694974,5929,0.3307663458132495,0.8403505227543477,0.04548771139920345,True,299,False
powerlaw_electrostatic,__pooled__,6,3.682842287694974,5929,0.38042297908000205,0.7888172920212413,0.05275534562598025,True,299,False
hybrid_gbm_s1,__pooled__,6,3.682842287694974,5929,0.5309530562495055,0.5886257342549907,0.0874037840544391,True,299,False
ipb98y2_analytic,__pooled__,7,3.682842287694974,5918,0.1983407963845183,0.9423219562572641,0.028026532349727417,False,310,False
mean_baseline,__pooled__,7,3.682842287694974,5918,1.612936012701409,-2.8143513455961657,0.1507611508046748,True,310,False
