tokamak,dimensionless_distance,engineering_distance,rmsle_ridge_loglinear,rmsle_random_forest,rmsle_hist_gradient_boosting
ASDEX,2.502986464075731,5.1821071553127185,0.1938882532332869,0.5005021515217953,0.23426158010932532
AUG,0.43877445314198,1.2423414111962268,0.21511426991745972,0.28107967796174343,0.28151033655381896
AUGW,1.3169623793802194,1.64775063800627,0.20664410690750978,0.21620432460434053,0.2046645497867297
CMOD,1.1804460902599916,6.932142692199896,0.17253649013184066,0.4689672280348511,0.4337387185223466
D3D,0.6938218641219179,1.1406049278919796,0.25131130602419216,0.4136031021504384,0.25465227562984727
JET,1.5278123400774033,2.187005060550348,0.19765666184729527,0.4764400649467639,0.45667780406580716
JETILW,1.0935615590684769,1.7018134844407264,0.21560108217879162,0.31963343545199074,0.2323966457839005
JFT2M,3.016608677374927,5.447840123608442,0.09378956622966651,0.4908488285846046,0.20747885512237502
JT60U,1.6872520951408074,2.4842161488581294,0.2854808928029526,0.2889405997408951,0.24869239233993828
MAST,3.195628785944168,5.369888639202408,0.15376471527431823,0.597564894917902,0.4444605053205399
NSTX,5.643634815823886,7.824147085381109,0.2886773331513479,0.8603629710329888,0.5920938097682451
PBXM,2.9133201275453033,10.177170122147107,0.2732584160145755,0.715843783366457,0.48519840532837283
PDX,1.9028628504351899,4.044102355063216,0.2329372828568516,0.4127841064162617,0.31510141560868477
