model_name,tokamak,n_held_out_rows,rmsle,r2_log,mae_s,is_blind,feature_mahalanobis,n_features_outside_train_range,target_above_train_max_fraction,target_below_train_min_fraction,log_target_headroom
ipb98y2_analytic,JET,1762,0.14786640407873294,0.8651906375969376,0.04008943635148512,False,2.189768389167002,0,0.48127128263337116,0.0,1.3108840862714626
mean_baseline,JET,1762,1.4160599734986126,-11.36358235064167,0.2721470340946211,True,2.189768389167002,0,0.48127128263337116,0.0,1.3108840862714626
ridge_loglinear,JET,1762,0.1979097980970751,0.758500840773906,0.05720913257823337,True,2.189768389167002,0,0.48127128263337116,0.0,1.3108840862714626
random_forest,JET,1762,0.47798512070328486,-0.40867169026510974,0.12794117115762435,True,2.189768389167002,0,0.48127128263337116,0.0,1.3108840862714626
hist_gradient_boosting,JET,1762,0.4867978709251852,-0.46109472174318844,0.1306848224359706,True,2.189768389167002,0,0.48127128263337116,0.0,1.3108840862714626
ridge_log_quadratic,JET,1762,0.28085664764617957,0.5136482901234838,0.0843957476655902,True,2.189768389167002,0,0.48127128263337116,0.0,1.3108840862714626
ipb98y2_analytic,AUG,1377,0.1973676563878414,0.6567435503035044,0.014821823467575594,False,1.2399939601552896,0,0.0,0.0,-1.4736930395047774
mean_baseline,AUG,1377,0.5014227191370254,-1.215515298386586,0.04064398252953401,True,1.2399939601552896,0,0.0,0.0,-1.4736930395047774
ridge_loglinear,AUG,1377,0.21552600328195384,0.5906770563026931,0.016697092862935747,True,1.2399939601552896,0,0.0,0.0,-1.4736930395047774
random_forest,AUG,1377,0.27930960871770744,0.3125541560448577,0.020491376539165572,True,1.2399939601552896,0,0.0,0.0,-1.4736930395047774
hist_gradient_boosting,AUG,1377,0.2812302860575839,0.3030671827480822,0.02010304886970401,True,1.2399939601552896,0,0.0,0.0,-1.4736930395047774
ridge_log_quadratic,AUG,1377,0.2008945064797325,0.6443663395403154,0.015426510738150793,True,1.2399939601552896,0,0.0,0.0,-1.4736930395047774
ipb98y2_analytic,JETILW,866,0.256629652478898,0.13749508121821863,0.05332775975454151,False,1.7024302608804454,0,0.0,0.0,-1.3108840862714626
mean_baseline,JETILW,866,0.5796072741547035,-3.399624009395616,0.0854752840865713,True,1.7024302608804454,0,0.0,0.0,-1.3108840862714626
ridge_loglinear,JETILW,866,0.21586955727909324,0.389717789674932,0.04216136888941527,True,1.7024302608804454,0,0.0,0.0,-1.3108840862714626
random_forest,JETILW,866,0.31834579995994233,-0.32722990225589466,0.061752714555080634,True,1.7024302608804454,0,0.0,0.0,-1.3108840862714626
hist_gradient_boosting,JETILW,866,0.2439381925302502,0.2206949115732193,0.04743717671297204,True,1.7024302608804454,0,0.0,0.0,-1.3108840862714626
ridge_log_quadratic,JETILW,866,0.19220679555219378,0.5161782529454217,0.03770348213552943,True,1.7024302608804454,0,0.0,0.0,-1.3108840862714626
ipb98y2_analytic,AUGW,767,0.21832511500257962,0.6044299823384836,0.014391729855872958,False,1.6457652294950753,0,0.0,0.0,-2.1960652133406504
mean_baseline,AUGW,767,0.7285625526189853,-3.4050380271324254,0.05987608122901125,True,1.6457652294950753,0,0.0,0.0,-2.1960652133406504
ridge_loglinear,AUGW,767,0.2074398929329735,0.6428912177897801,0.013131906920709865,True,1.6457652294950753,0,0.0,0.0,-2.1960652133406504
random_forest,AUGW,767,0.2194924927440094,0.6001884712818246,0.015500847296134967,True,1.6457652294950753,0,0.0,0.0,-2.1960652133406504
hist_gradient_boosting,AUGW,767,0.21219271101172096,0.6263397548171405,0.014713616643866938,True,1.6457652294950753,0,0.0,0.0,-2.1960652133406504
ridge_log_quadratic,AUGW,767,0.19102144058296838,0.6971830342768758,0.012811567507930206,True,1.6457652294950753,0,0.0,0.0,-2.1960652133406504
ipb98y2_analytic,ASDEX,431,0.13144904229087115,0.7497895916998001,0.003874747966695577,False,5.187342932450245,0,0.0,0.0,-2.9420335462508644
mean_baseline,ASDEX,431,1.4165006205202904,-28.055212579127588,0.10188523025602599,True,5.187342932450245,0,0.0,0.0,-2.9420335462508644
ridge_loglinear,ASDEX,431,0.1935999461699966,0.4572485611244721,0.005498660848115468,True,5.187342932450245,0,0.0,0.0,-2.9420335462508644
random_forest,ASDEX,431,0.5067383872546776,-2.7184173163467684,0.020079363481221784,True,5.187342932450245,0,0.0,0.0,-2.9420335462508644
hist_gradient_boosting,ASDEX,431,0.20697949141905117,0.3796380534742231,0.005472780705782539,True,5.187342932450245,0,0.0,0.0,-2.9420335462508644
ridge_log_quadratic,ASDEX,431,0.4053897620089424,-1.37977595469245,0.010532669739988402,True,5.187342932450245,0,0.0,0.0,-2.9420335462508644
ipb98y2_analytic,D3D,388,0.25193607071646484,0.5820554734045065,0.024719660039280677,False,1.1410663145491857,0,0.0,0.0,-1.3602914771096872
mean_baseline,D3D,388,0.3990225966873555,-0.048414261022921457,0.03658335664889075,True,1.1410663145491857,0,0.0,0.0,-1.3602914771096872
ridge_loglinear,D3D,388,0.2512433460586729,0.5843506782544805,0.024186293337540417,True,1.1410663145491857,0,0.0,0.0,-1.3602914771096872
random_forest,D3D,388,0.4059948133516858,-0.08537273971232184,0.037543844534112955,True,1.1410663145491857,0,0.0,0.0,-1.3602914771096872
hist_gradient_boosting,D3D,388,0.24573867969801805,0.6023646560103164,0.024791134354654236,True,1.1410663145491857,0,0.0,0.0,-1.3602914771096872
