arm,tokamak,model_name,n_held_out_rows,rmsle
baseline,JET,ipb98y2_analytic,1762,0.14786640407873294
baseline,JET,ridge_loglinear,1762,0.1979097980970751
baseline,JET,random_forest,1762,0.4779851207032848
baseline,JET,hist_gradient_boosting,1762,0.4867978709251852
baseline,AUG,ipb98y2_analytic,1377,0.1973676563878414
baseline,AUG,ridge_loglinear,1377,0.21552600328195384
baseline,AUG,random_forest,1377,0.27930960871770744
baseline,AUG,hist_gradient_boosting,1377,0.2812302860575839
baseline,JETILW,ipb98y2_analytic,866,0.256629652478898
baseline,JETILW,ridge_loglinear,866,0.21586955727909324
baseline,JETILW,random_forest,866,0.31834579995994233
baseline,JETILW,hist_gradient_boosting,866,0.2439381925302502
baseline,AUGW,ipb98y2_analytic,767,0.21832511500257962
baseline,AUGW,ridge_loglinear,767,0.2074398929329735
baseline,AUGW,random_forest,767,0.21949249274400942
baseline,AUGW,hist_gradient_boosting,767,0.21219271101172096
baseline,ASDEX,ipb98y2_analytic,431,0.13144904229087115
baseline,ASDEX,ridge_loglinear,431,0.1935999461699966
baseline,ASDEX,random_forest,431,0.5067383872546776
baseline,ASDEX,hist_gradient_boosting,431,0.20697949141905117
baseline,D3D,ipb98y2_analytic,388,0.25193607071646484
baseline,D3D,ridge_loglinear,388,0.2512433460586729
baseline,D3D,random_forest,388,0.4059948133516858
baseline,D3D,hist_gradient_boosting,388,0.24573867969801805
baseline,NSTX,ipb98y2_analytic,185,0.22222938608255652
baseline,NSTX,ridge_loglinear,185,0.28907712742060465
baseline,NSTX,random_forest,185,0.8573763614997421
baseline,NSTX,hist_gradient_boosting,185,0.6857023422989421
baseline,JT60U,ipb98y2_analytic,100,0.2748479842757165
baseline,JT60U,ridge_loglinear,100,0.2853670935561867
baseline,JT60U,random_forest,100,0.29120318766011555
baseline,JT60U,hist_gradient_boosting,100,0.30701737969020504
baseline,PDX,ipb98y2_analytic,97,0.2270798419649088
baseline,PDX,ridge_loglinear,97,0.23277730351044704
baseline,PDX,random_forest,97,0.40722559027110555
baseline,PDX,hist_gradient_boosting,97,0.3227021134914512
baseline,JFT2M,ipb98y2_analytic,69,0.0945692941473851
