degree,alpha,tokamak,n_held_out_rows,rmsle,feature_mahalanobis
1,0.001,JET,1762,0.1973906097840931,2.189768389167002
1,0.001,AUG,1377,0.21563135707260447,1.2399939601552896
1,0.001,JETILW,866,0.2157716512185195,1.7024302608804454
1,0.001,AUGW,767,0.20713608203836312,1.6457652294950753
1,0.001,ASDEX,431,0.19388647927516453,5.187342932450245
1,0.001,D3D,388,0.25131838705518394,1.1410663145491857
1,0.001,NSTX,185,0.28904868830436087,7.8308993076380045
1,0.001,JT60U,100,0.28543667486087493,2.483394451114324
1,0.001,PDX,97,0.23290180713588862,4.045943810544166
1,0.001,JFT2M,69,0.09369676199399278,5.434784443628557
1,0.001,PBXM,59,0.27481620482618163,10.18020691511417
1,0.001,CMOD,45,0.17196228510161565,6.937744525296737
1,0.001,MAST,39,0.1538423575021249,5.375921749336576
1,0.01,JET,1762,0.19739528240646506,2.189768389167002
1,0.01,AUG,1377,0.21563040162042507,1.2399939601552896
1,0.01,JETILW,866,0.2157725321555903,1.7024302608804454
1,0.01,AUGW,767,0.2071388267326443,1.6457652294950753
1,0.01,ASDEX,431,0.19388389116005575,5.187342932450245
1,0.01,D3D,388,0.2513177070656488,1.1410663145491857
1,0.01,NSTX,185,0.28904892878081306,7.8308993076380045
1,0.01,JT60U,100,0.2854360437693229,2.483394451114324
1,0.01,PDX,97,0.23290067472904477,4.045943810544166
1,0.01,JFT2M,69,0.09369612399487584,5.434784443628557
1,0.01,PBXM,59,0.2748098069377869,10.18020691511417
1,0.01,CMOD,45,0.17196999187792533,6.937744525296737
1,0.01,MAST,39,0.1538403710421674,5.375921749336576
1,0.1,JET,1762,0.19744201344054116,2.189768389167002
1,0.1,AUG,1377,0.21562085344092644,1.2399939601552896
1,0.1,JETILW,866,0.21578134263281354,1.7024302608804454
1,0.1,AUGW,767,0.20716626597315815,1.6457652294950753
1,0.1,ASDEX,431,0.19385801675929568,5.187342932450245
1,0.1,D3D,388,0.25131091113124954,1.1410663145491857
1,0.1,NSTX,185,0.28905134933808696,7.8308993076380045
1,0.1,JT60U,100,0.2854297371017758,2.483394451114324
1,0.1,PDX,97,0.23288936146341,4.045943810544166
1,0.1,JFT2M,69,0.09368976205111561,5.434784443628557
1,0.1,PBXM,59,0.27474586180647537,10.18020691511417
1,0.1,CMOD,45,0.17204705286654176,6.937744525296737
1,0.1,MAST,39,0.15382051869088864,5.375921749336576
1,1.0,JET,1762,0.19790979809707568,2.189768389167002
1,1.0,AUG,1377,0.21552600328195776,1.2399939601552896
1,1.0,JETILW,866,0.21586955727909224,1.7024302608804454
1,1.0,AUGW,767,0.20743989293297402,1.6457652294950753
1,1.0,ASDEX,431,0.19359994616999363,5.187342932450245
1,1.0,D3D,388,0.25124334605867177,1.1410663145491857
1,1.0,NSTX,185,0.2890771274206093,7.8308993076380045
1,1.0,JT60U,100,0.2853670935561869,2.483394451114324
1,1.0,PDX,97,0.23277730351045062,4.045943810544166
1,1.0,JFT2M,69,0.09362793859749076,5.434784443628557
1,1.0,PBXM,59,0.27410976868518006,10.18020691511417
