device,model_name,is_blind,tau_predicted_s,tau_interval_low_s,tau_interval_high_s,nominal_coverage,feature_mahalanobis,bounded_by_training_range
SPARC,ipb98y2_analytic,False,0.7652463545869812,0.5842944909877671,1.002237728133781,0.9,6.935988633954958,False
JT-60SA,ipb98y2_analytic,False,0.4789871360871287,0.3494709799580138,0.6565027990722251,0.9,3.8296039628098195,False
ITER,ipb98y2_analytic,False,3.5913264891644117,2.656653457096183,4.854839428651543,0.9,4.72243534426133,False
SPARC,ridge_loglinear,True,0.7197645484246911,0.5311069946677996,0.9754362310612,0.9,6.935988633954958,False
JT-60SA,ridge_loglinear,True,0.44412243484059016,0.31885625517305827,0.6186008081343121,0.9,3.8296039628098195,False
ITER,ridge_loglinear,True,2.857823627643222,2.068490528418553,3.9483651360782375,0.9,4.72243534426133,False
SPARC,random_forest,True,0.1363245933281848,0.03480253709295171,0.5339954008657236,0.9,6.935988633954958,True
JT-60SA,random_forest,True,0.44874326579279017,0.23217006508989627,0.8673405786245872,0.9,3.8296039628098195,True
ITER,random_forest,True,0.4348585271009909,0.19297449064484534,0.9799323110559247,0.9,4.72243534426133,True
SPARC,hist_gradient_boosting,True,0.30519641778904755,0.13579800879694937,0.6859073579682659,0.9,6.935988633954958,True
JT-60SA,hist_gradient_boosting,True,0.4181628347887222,0.23566121956111258,0.7419980119096121,0.9,3.8296039628098195,True
ITER,hist_gradient_boosting,True,0.44443175181830086,0.23592887036225954,0.8371997107475663,0.9,4.72243534426133,True
SPARC,powerlaw_collisionless,True,0.7235916477061137,0.5481151788419809,0.9552460738931584,0.9,6.935988633954958,False
JT-60SA,powerlaw_collisionless,True,0.4281749272503007,0.31256050737690894,0.5865544878474448,0.9,3.8296039628098195,False
ITER,powerlaw_collisionless,True,2.836654192791861,2.0938435524801684,3.8429838752529513,0.9,4.72243534426133,False
