device,model,n_rows,cv,lodo,mahalanobis,iss04
W7-AS,ridge_loglinear,629,0.21524429995921585,0.5023738028632874,3.2861204516178377,
TJ-II,ridge_loglinear,316,0.18139503925390524,0.2598718135680569,2.06752223075185,
ATF,ridge_loglinear,229,0.31516477286792166,0.37564931101372184,1.8076827927973482,
CHS,ridge_loglinear,196,0.23365670907249464,0.37937947317335663,5.182336169587855,
LHD,ridge_loglinear,162,0.3128896171666631,0.7898189627410239,6.793770204960262,
HELE,ridge_loglinear,120,0.31990042476396385,0.34093122757216215,0.7278076691698033,
HELJ,ridge_loglinear,54,0.43734164705521344,0.44363254228538157,1.709938292075147,
W7-AS,random_forest,629,0.16457277028987038,0.8654543341531866,3.2861204516178377,
TJ-II,random_forest,316,0.11029721755281445,0.30468634762157526,2.06752223075185,
ATF,random_forest,229,0.20140130623666083,0.4562562521708042,1.8076827927973482,
CHS,random_forest,196,0.1438702072463568,0.7038043652065508,5.182336169587855,
LHD,random_forest,162,0.15064307205255223,2.3783976525460826,6.793770204960262,
HELE,random_forest,120,0.25954897476088834,0.4658107693934648,0.7278076691698033,
HELJ,random_forest,54,0.43406000520390936,0.5253139014745747,1.709938292075147,
W7-AS,hist_gradient_boosting,629,0.1551808548196803,0.8942383537539487,3.2861204516178377,
TJ-II,hist_gradient_boosting,316,0.10426628995742362,1.0438832627134147,2.06752223075185,
ATF,hist_gradient_boosting,229,0.234365851822283,0.6493379694127498,1.8076827927973482,
CHS,hist_gradient_boosting,196,0.1496531866827655,0.776829720029671,5.182336169587855,
LHD,hist_gradient_boosting,162,0.12903843178749416,2.3329088281783132,6.793770204960262,
HELE,hist_gradient_boosting,120,0.23948053641070896,0.4181802721289409,0.7278076691698033,
HELJ,hist_gradient_boosting,54,0.4069481765534905,0.5316830563481124,1.709938292075147,
W7-AS,mean_baseline,629,0.6714865357735738,0.7428246982230171,3.2861204516178377,
TJ-II,mean_baseline,316,1.0569672065097226,1.2808060966648749,2.06752223075185,
ATF,mean_baseline,229,0.5039319183061082,0.5151132727191993,1.8076827927973482,
CHS,mean_baseline,196,1.1769761234612661,1.3089437686653176,5.182336169587855,
LHD,mean_baseline,162,2.2403493237201673,2.458269662746876,6.793770204960262,
HELE,mean_baseline,120,0.47857367073511653,0.4843987284720773,0.7278076691698033,
HELJ,mean_baseline,54,0.8226068620157038,0.8377523903428845,1.709938292075147,
W7-AS,ridge_log_quadratic,629,0.21751777782790932,0.3400728953645491,3.2861204516178377,
TJ-II,ridge_log_quadratic,316,0.1504249292097479,0.3127123612760981,2.06752223075185,
ATF,ridge_log_quadratic,229,0.230089773492858,0.27854707065303663,1.8076827927973482,
CHS,ridge_log_quadratic,196,0.15782666266184547,0.5214100131296237,5.182336169587855,
LHD,ridge_log_quadratic,162,0.25606324294257354,0.7564992790148476,6.793770204960262,
HELE,ridge_log_quadratic,120,0.26329141495667596,0.2855804677989341,0.7278076691698033,
HELJ,ridge_log_quadratic,54,0.4198421619431534,0.4246248363102006,1.709938292075147,
W7-AS,ridge_log_cubic,629,0.18941059853048586,0.407478796237825,3.2861204516178377,
TJ-II,ridge_log_cubic,316,0.1472392056857709,0.27435726710874736,2.06752223075185,
ATF,ridge_log_cubic,229,0.2202069249396278,0.3629754230429593,1.8076827927973482,
CHS,ridge_log_cubic,196,0.1459293366436777,1.9967262102057077,5.182336169587855,
LHD,ridge_log_cubic,162,0.18900477350719697,3.3368766190562558,6.793770204960262,
HELE,ridge_log_cubic,120,0.2304548125148144,0.2582260889328651,0.7278076691698033,
HELJ,ridge_log_cubic,54,0.41634075343518884,0.4236722706434246,1.709938292075147,
W7-AS,gp_linear_rbf,629,0.13751359948653497,0.4428139997049815,3.2861204516178377,
TJ-II,gp_linear_rbf,316,0.10413386432392524,0.27945497368558564,2.06752223075185,
ATF,gp_linear_rbf,229,0.20105727399425347,0.4065808144662777,1.8076827927973482,
CHS,gp_linear_rbf,196,0.1281734401675226,0.24559539596130597,5.182336169587855,
LHD,gp_linear_rbf,162,0.13710766937911975,0.775861741842084,6.793770204960262,
HELE,gp_linear_rbf,120,0.2196939609811789,0.282424177012045,0.7278076691698033,
HELJ,gp_linear_rbf,54,0.43678122459030166,0.43092966882446015,1.709938292075147,
