model_name,tokamak,n_held_out_rows,rmsle,r2_log,mae_s,is_blind
ipb98y2_analytic,JET,1762,0.14786640407873294,0.8651906375969376,0.04008943635148512,False
mean_baseline,JET,1762,1.4160599734986126,-11.36358235064167,0.2721470340946211,True
ridge_loglinear,JET,1762,0.48631043405220165,-0.45817016137980304,0.12516094344525386,True
random_forest,JET,1762,0.6307534204654728,-1.4530153181269942,0.16213902561325932,True
hist_gradient_boosting,JET,1762,0.6614521131704763,-1.6976018334937129,0.1660896594431399,True
ipb98y2_analytic,AUG,1377,0.1973676563878414,0.6567435503035044,0.014821823467575594,False
mean_baseline,AUG,1377,0.5014227191370254,-1.215515298386586,0.04064398252953401,True
ridge_loglinear,AUG,1377,0.31826840739644363,0.10740633586719339,0.02391350691707406,True
random_forest,AUG,1377,0.42612836168497314,-0.6001018178525028,0.031471701746443155,True
hist_gradient_boosting,AUG,1377,0.4187665457301313,-0.5452925013551488,0.030633929420372494,True
ipb98y2_analytic,JETILW,866,0.256629652478898,0.13749508121821863,0.05332775975454151,False
mean_baseline,JETILW,866,0.5796072741547035,-3.399624009395616,0.0854752840865713,True
ridge_loglinear,JETILW,866,0.44755380810031686,-1.6232423940850693,0.09683536586993878,True
random_forest,JETILW,866,0.4263961384857085,-1.3810824542020672,0.08881596124882275,True
hist_gradient_boosting,JETILW,866,0.4367931917052472,-1.4986166497677909,0.09226951509623642,True
ipb98y2_analytic,AUGW,767,0.21832511500257962,0.6044299823384836,0.014391729855872958,False
mean_baseline,AUGW,767,0.7285625526189853,-3.4050380271324254,0.05987608122901125,True
ridge_loglinear,AUGW,767,0.3348285218447098,0.06961893586043388,0.016872987152427913,True
random_forest,AUGW,767,0.36293117866017743,-0.09311166736592802,0.02583098669914108,True
hist_gradient_boosting,AUGW,767,0.3518752321136714,-0.027527298941874,0.023605549163443755,True
ipb98y2_analytic,ASDEX,431,0.13144904229087115,0.7497895916998001,0.003874747966695577,False
mean_baseline,ASDEX,431,1.4165006205202904,-28.055212579127588,0.10188523025602599,True
ridge_loglinear,ASDEX,431,0.2516734624946479,0.08279720961891512,0.006562272545531594,True
random_forest,ASDEX,431,0.30634013280905076,-0.3589338341289776,0.008719429081392841,True
hist_gradient_boosting,ASDEX,431,0.3476415480916959,-0.7500637514592603,0.009393508048011165,True
ipb98y2_analytic,D3D,388,0.25193607071646484,0.5820554734045065,0.024719660039280677,False
mean_baseline,D3D,388,0.3990225966873555,-0.048414261022921457,0.03658335664889075,True
ridge_loglinear,D3D,388,0.317360144975194,0.3368027595305523,0.030444182706421304,True
random_forest,D3D,388,0.4700150711393273,-0.45466003258469234,0.04258786331491989,True
hist_gradient_boosting,D3D,388,0.350111043136147,0.1928587230095119,0.03270501285787372,True
ipb98y2_analytic,NSTX,185,0.22222938608255652,0.21352223032522444,0.00582315778351345,False
mean_baseline,NSTX,185,1.3281769591843104,-27.09282167329282,0.09328834651824526,True
ridge_loglinear,NSTX,185,0.7024705502884766,-6.858501176055536,0.029865598660321645,True
random_forest,NSTX,185,0.827014862800928,-9.892062072961938,0.03986100798657321,True
hist_gradient_boosting,NSTX,185,0.5063425938371506,-3.0829344030226347,0.016229752471916246,True
ipb98y2_analytic,JT60U,100,0.2748479842757165,0.33242406834708016,0.05207984580029731,False
mean_baseline,JT60U,100,0.4782029879765733,-1.0208781529655213,0.06662185225844898,True
ridge_loglinear,JT60U,100,0.4115219450691669,-0.49658558330746927,0.07846546582749418,True
random_forest,JT60U,100,0.29073791463487386,0.2530029267904865,0.03875478005911535,True
hist_gradient_boosting,JT60U,100,0.28197544806581376,0.2973514587699867,0.035523877697048505,True
ipb98y2_analytic,PDX,97,0.2270798419649088,0.43089813858658277,0.0054644093825862525,False
mean_baseline,PDX,97,1.439568117800691,-21.87163854454974,0.09478058577330609,True
ridge_loglinear,PDX,97,0.303519517141846,-0.01673104546734594,0.007169425736052654,True
random_forest,PDX,97,0.33158795460599244,-0.21347359644648378,0.008356451302208676,True
hist_gradient_boosting,PDX,97,0.3491162637333548,-0.3451570795072334,0.008856338496979923,True
ipb98y2_analytic,JFT2M,69,0.0945692941473851,0.8238823937260398,0.0021012171542505115,False
mean_baseline,JFT2M,69,1.628585559883982,-51.23043446982283,0.10076738251203782,True
ridge_loglinear,JFT2M,69,0.28618026627791426,-0.6128049431756701,0.0063118741088132565,True
random_forest,JFT2M,69,0.4586323222903539,-3.1422069792622533,0.013411150234951347,True
hist_gradient_boosting,JFT2M,69,0.3361815024261703,-1.225615342482269,0.009062947753869462,True
ipb98y2_analytic,PBXM,59,0.17167843282810225,0.3138893502354153,0.006784458693358055,False
mean_baseline,PBXM,59,1.0079964906077226,-22.65269983035619,0.07783469389810485,True
ridge_loglinear,PBXM,59,0.47614701075500476,-4.277701269679659,0.023109019521592073,True
random_forest,PBXM,59,0.5493586101635896,-6.025456538279596,0.0189180988125955,True
hist_gradient_boosting,PBXM,59,0.5348118722018358,-5.658321465681906,0.018679072155076807,True
ipb98y2_analytic,CMOD,45,0.1193554844659295,0.4744586991937786,0.005763779410542274,False
mean_baseline,CMOD,45,0.7467272215466353,-19.570557356722187,0.06395019685316979,True
ridge_loglinear,CMOD,45,0.693853372396604,-16.760594497928462,0.030522037708387847,True
random_forest,CMOD,45,0.169513525833823,-0.06006087602311383,0.008652980691134992,True
hist_gradient_boosting,CMOD,45,0.16844761726508536,-0.04677137069311321,0.007873253689543586,True
ipb98y2_analytic,MAST,39,0.1364310264879828,0.40432459030573853,0.003948205430901035,False
mean_baseline,MAST,39,1.2460596885368236,-48.689093226606616,0.08839798995386468,True
ridge_loglinear,MAST,39,0.17291032289877553,0.04319106470388889,0.0051609476015558415,True
random_forest,MAST,39,0.616449193250749,-11.161242704581815,0.01638511281460559,True
hist_gradient_boosting,MAST,39,0.2582107887905562,-1.1336940567929106,0.007565257299591233,True
