model_name,tokamak,n_held_out_rows,rmsle,r2_log,mae_s,is_blind
ipb98y2_analytic,JET,2628,0.19068779662694055,0.8155230363571425,0.044451836681411616,False
mean_baseline,JET,2628,1.448943797231408,-9.651221611611652,0.23576389646524493,True
ridge_loglinear,JET,2628,0.18480719816936597,0.8267257186292206,0.04492631927719677,True
random_forest,JET,2628,0.664288606484454,-1.2387724204131954,0.14700252940005704,True
hist_gradient_boosting,JET,2628,0.7468539248653041,-1.829877759649905,0.1608689129177344,True
ipb98y2_analytic,AUG,2144,0.20511117994645992,0.6837730865965033,0.014667960687642794,False
mean_baseline,AUG,2144,0.6934301300155753,-2.6143114977212005,0.06329821709358727,True
ridge_loglinear,AUG,2144,0.19523099183630296,0.7135045795134334,0.013962167197151053,True
random_forest,AUG,2144,0.38064429615106393,-0.08907757547801287,0.021691065592174114,True
hist_gradient_boosting,AUG,2144,0.30250601449973075,0.3121587916609788,0.018223781500027805,True
ipb98y2_analytic,ASDEX,431,0.13144904229087115,0.7497895916998001,0.003874747966695577,False
mean_baseline,ASDEX,431,1.4165006205202904,-28.055212579127588,0.10188523025602599,True
ridge_loglinear,ASDEX,431,0.1935999461699966,0.4572485611244721,0.005498660848115468,True
random_forest,ASDEX,431,0.5067383872546776,-2.7184173163467684,0.020079363481221784,True
hist_gradient_boosting,ASDEX,431,0.20697949141905117,0.3796380534742231,0.005472780705782539,True
ipb98y2_analytic,D3D,388,0.25193607071646484,0.5820554734045065,0.024719660039280677,False
mean_baseline,D3D,388,0.3990225966873555,-0.048414261022921457,0.03658335664889075,True
ridge_loglinear,D3D,388,0.2512433460586729,0.5843506782544805,0.024186293337540417,True
random_forest,D3D,388,0.4059948133516858,-0.08537273971232184,0.037543844534112955,True
hist_gradient_boosting,D3D,388,0.24573867969801805,0.6023646560103164,0.024791134354654236,True
ipb98y2_analytic,NSTX,185,0.22222938608255652,0.21352223032522444,0.00582315778351345,False
mean_baseline,NSTX,185,1.3281769591843104,-27.09282167329282,0.09328834651824526,True
ridge_loglinear,NSTX,185,0.28907712742060465,-0.33079432249033114,0.007526765242302527,True
random_forest,NSTX,185,0.857376361499742,-10.706484367601268,0.04293238555369702,True
hist_gradient_boosting,NSTX,185,0.6857023422989421,-6.4878087691517425,0.0282319697303056,True
ipb98y2_analytic,JT60U,100,0.2748479842757165,0.33242406834708016,0.05207984580029731,False
mean_baseline,JT60U,100,0.4782029879765733,-1.0208781529655213,0.06662185225844898,True
ridge_loglinear,JT60U,100,0.2853670935561867,0.28034666537844655,0.056359094054382934,True
random_forest,JT60U,100,0.29120318766011555,0.2506101484711377,0.05281258298844948,True
hist_gradient_boosting,JT60U,100,0.30701737969020504,0.16700675486590866,0.048244626300737135,True
ipb98y2_analytic,PDX,97,0.2270798419649088,0.43089813858658277,0.0054644093825862525,False
mean_baseline,PDX,97,1.439568117800691,-21.87163854454974,0.09478058577330609,True
ridge_loglinear,PDX,97,0.23277730351044704,0.4019822074861821,0.0058925259782870165,True
random_forest,PDX,97,0.40722559027110555,-0.8302185906926545,0.011402095336888912,True
hist_gradient_boosting,PDX,97,0.3227021134914512,-0.1493080775259472,0.008224733415130917,True
ipb98y2_analytic,JFT2M,69,0.0945692941473851,0.8238823937260398,0.0021012171542505115,False
mean_baseline,JFT2M,69,1.628585559883982,-51.23043446982283,0.10076738251203782,True
ridge_loglinear,JFT2M,69,0.09362793859749098,0.8273711401123618,0.001970894040318462,True
random_forest,JFT2M,69,0.4502539255431945,-2.992247842011669,0.013091761171365202,True
hist_gradient_boosting,JFT2M,69,0.23418446081860614,-0.0799872481676791,0.003816649306802119,True
ipb98y2_analytic,PBXM,59,0.17167843282810225,0.3138893502354153,0.006784458693358055,False
mean_baseline,PBXM,59,1.0079964906077226,-22.65269983035619,0.07783469389810485,True
ridge_loglinear,PBXM,59,0.27410976868517906,-0.7490881860194585,0.011784094680070275,True
random_forest,PBXM,59,0.7273766020265496,-11.31633047749103,0.023997340247039672,True
hist_gradient_boosting,PBXM,59,0.5587897073538394,-6.268745716782309,0.020089966214787185,True
ipb98y2_analytic,CMOD,45,0.1193554844659295,0.4744586991937786,0.005763779410542274,False
mean_baseline,CMOD,45,0.7467272215466353,-19.570557356722187,0.06395019685316979,True
ridge_loglinear,CMOD,45,0.17281698025423575,-0.10178007996759031,0.00858195996811408,True
random_forest,CMOD,45,0.5214357323031032,-9.030525102305464,0.03852698202468062,True
hist_gradient_boosting,CMOD,45,0.568711558029444,-10.931806480111879,0.044989166774290594,True
ipb98y2_analytic,MAST,39,0.1364310264879828,0.40432459030573853,0.003948205430901035,False
mean_baseline,MAST,39,1.2460596885368236,-48.689093226606616,0.08839798995386468,True
ridge_loglinear,MAST,39,0.15362321385492766,0.24473897838027747,0.004535541178211001,True
random_forest,MAST,39,0.5808719215353065,-9.79802047058919,0.01594963734964471,True
hist_gradient_boosting,MAST,39,0.3168100380019187,-2.2120422259021866,0.009883053090596864,True
