model_name,tokamak,n_held_out_rows,rmsle,r2_log,mae_s,is_blind
ipb98y2_analytic,JET,1762,0.14786640407873294,0.8651906375969376,0.04008943635148512,False
mean_baseline,JET,1762,1.4160599734986126,-11.36358235064167,0.2721470340946211,True
ridge_loglinear,JET,1762,0.1979097980970751,0.758500840773906,0.05720913257823337,True
random_forest,JET,1762,0.47798512070328486,-0.40867169026510974,0.12794117115762435,True
hist_gradient_boosting,JET,1762,0.4867978709251852,-0.46109472174318844,0.1306848224359706,True
ipb98y2_analytic,AUG,1377,0.1973676563878414,0.6567435503035044,0.014821823467575594,False
mean_baseline,AUG,1377,0.5014227191370254,-1.215515298386586,0.04064398252953401,True
ridge_loglinear,AUG,1377,0.21552600328195384,0.5906770563026931,0.016697092862935747,True
random_forest,AUG,1377,0.27930960871770744,0.3125541560448576,0.020491376539165572,True
hist_gradient_boosting,AUG,1377,0.2812302860575839,0.3030671827480822,0.02010304886970401,True
ipb98y2_analytic,JETILW,866,0.256629652478898,0.13749508121821863,0.05332775975454151,False
mean_baseline,JETILW,866,0.5796072741547035,-3.399624009395616,0.0854752840865713,True
ridge_loglinear,JETILW,866,0.21586955727909324,0.389717789674932,0.04216136888941527,True
random_forest,JETILW,866,0.31834579995994233,-0.32722990225589443,0.061752714555080634,True
hist_gradient_boosting,JETILW,866,0.2439381925302502,0.2206949115732193,0.04743717671297204,True
ipb98y2_analytic,AUGW,767,0.21832511500257962,0.6044299823384836,0.014391729855872958,False
mean_baseline,AUGW,767,0.7285625526189853,-3.4050380271324254,0.05987608122901125,True
ridge_loglinear,AUGW,767,0.2074398929329735,0.6428912177897801,0.013131906920709865,True
random_forest,AUGW,767,0.21949249274400942,0.6001884712818246,0.015500847296134969,True
hist_gradient_boosting,AUGW,767,0.21219271101172096,0.6263397548171405,0.014713616643866938,True
ipb98y2_analytic,ASDEX,431,0.13144904229087115,0.7497895916998001,0.003874747966695577,False
mean_baseline,ASDEX,431,1.4165006205202904,-28.055212579127588,0.10188523025602599,True
ridge_loglinear,ASDEX,431,0.1935999461699966,0.4572485611244721,0.005498660848115468,True
random_forest,ASDEX,431,0.5067383872546776,-2.7184173163467684,0.020079363481221784,True
hist_gradient_boosting,ASDEX,431,0.20697949141905117,0.3796380534742231,0.005472780705782539,True
ipb98y2_analytic,D3D,388,0.25193607071646484,0.5820554734045065,0.024719660039280677,False
mean_baseline,D3D,388,0.3990225966873555,-0.048414261022921457,0.03658335664889075,True
ridge_loglinear,D3D,388,0.2512433460586729,0.5843506782544805,0.024186293337540417,True
random_forest,D3D,388,0.4059948133516858,-0.08537273971232184,0.037543844534112955,True
hist_gradient_boosting,D3D,388,0.24573867969801805,0.6023646560103164,0.024791134354654236,True
ipb98y2_analytic,NSTX,185,0.22222938608255652,0.21352223032522444,0.00582315778351345,False
mean_baseline,NSTX,185,1.3281769591843104,-27.09282167329282,0.09328834651824526,True
ridge_loglinear,NSTX,185,0.28907712742060465,-0.33079432249033114,0.007526765242302527,True
random_forest,NSTX,185,0.857376361499742,-10.706484367601268,0.04293238555369702,True
hist_gradient_boosting,NSTX,185,0.6857023422989421,-6.4878087691517425,0.0282319697303056,True
ipb98y2_analytic,JT60U,100,0.2748479842757165,0.33242406834708016,0.05207984580029731,False
mean_baseline,JT60U,100,0.4782029879765733,-1.0208781529655213,0.06662185225844898,True
ridge_loglinear,JT60U,100,0.2853670935561867,0.28034666537844655,0.056359094054382934,True
random_forest,JT60U,100,0.29120318766011555,0.2506101484711377,0.05281258298844948,True
hist_gradient_boosting,JT60U,100,0.30701737969020504,0.16700675486590866,0.048244626300737135,True
ipb98y2_analytic,PDX,97,0.2270798419649088,0.43089813858658277,0.0054644093825862525,False
mean_baseline,PDX,97,1.439568117800691,-21.87163854454974,0.09478058577330609,True
ridge_loglinear,PDX,97,0.23277730351044704,0.4019822074861821,0.0058925259782870165,True
random_forest,PDX,97,0.40722559027110555,-0.8302185906926545,0.011402095336888912,True
hist_gradient_boosting,PDX,97,0.3227021134914512,-0.1493080775259472,0.008224733415130917,True
ipb98y2_analytic,JFT2M,69,0.0945692941473851,0.8238823937260398,0.0021012171542505115,False
mean_baseline,JFT2M,69,1.628585559883982,-51.23043446982283,0.10076738251203782,True
ridge_loglinear,JFT2M,69,0.09362793859749098,0.8273711401123618,0.001970894040318462,True
random_forest,JFT2M,69,0.4502539255431945,-2.992247842011669,0.013091761171365202,True
hist_gradient_boosting,JFT2M,69,0.23418446081860614,-0.0799872481676791,0.003816649306802119,True
ipb98y2_analytic,PBXM,59,0.17167843282810225,0.3138893502354153,0.006784458693358055,False
mean_baseline,PBXM,59,1.0079964906077226,-22.65269983035619,0.07783469389810485,True
ridge_loglinear,PBXM,59,0.27410976868517906,-0.7490881860194585,0.011784094680070275,True
random_forest,PBXM,59,0.7273766020265496,-11.31633047749103,0.023997340247039672,True
hist_gradient_boosting,PBXM,59,0.5587897073538394,-6.268745716782309,0.020089966214787185,True
ipb98y2_analytic,CMOD,45,0.1193554844659295,0.4744586991937786,0.005763779410542274,False
mean_baseline,CMOD,45,0.7467272215466353,-19.570557356722187,0.06395019685316979,True
ridge_loglinear,CMOD,45,0.17281698025423575,-0.10178007996759031,0.00858195996811408,True
random_forest,CMOD,45,0.5214357323031032,-9.030525102305464,0.03852698202468062,True
hist_gradient_boosting,CMOD,45,0.568711558029444,-10.931806480111879,0.044989166774290594,True
ipb98y2_analytic,MAST,39,0.1364310264879828,0.40432459030573853,0.003948205430901035,False
mean_baseline,MAST,39,1.2460596885368236,-48.689093226606616,0.08839798995386468,True
ridge_loglinear,MAST,39,0.15362321385492766,0.24473897838027747,0.004535541178211001,True
random_forest,MAST,39,0.5808719215353065,-9.79802047058919,0.01594963734964471,True
hist_gradient_boosting,MAST,39,0.3168100380019187,-2.2120422259021866,0.009883053090596864,True
