seed,cv_rmsle_ridge_loglinear,cv_rmsle_random_forest,cv_rmsle_hist_gradient_boosting,forest_margin_over_power_law,forest_beats_power_law
0,0.18165535592017673,0.1323188615411504,0.13202106849387965,0.2715939429867723,True
1,0.18151867674642133,0.13077045568124634,0.12930586646860542,0.27957575481926544,True
2,0.18149889949858078,0.1302437544690315,0.1291471375001254,0.28239920556625786,True
3,0.18128980821221663,0.1311033631757922,0.13001902498063903,0.2768299306581897,True
4,0.18140050755715587,0.12979294485084147,0.13028836421200296,0.28449513951913186,True
5,0.1814209929756355,0.131026238925931,0.130763798107347,0.27777796396733656,True
6,0.18148265402963992,0.13251522665247292,0.13128357627681794,0.2698187749071026,True
7,0.18167721461306757,0.13061387725320256,0.13198843198585533,0.28106627167649323,True
8,0.1813469844938531,0.13102597458001966,0.13037785558202775,0.2774846797385765,True
9,0.1812858633673645,0.12989606888291944,0.12785288391112334,0.2834738105326329,True
