arm,model_name,is_blind,cv_rmsle,lomo_mean_rmsle,lomo_median_rmsle,lomo_worst_rmsle,degradation_factor,cv_rank,lomo_rank
disjoint_h,hist_gradient_boosting,True,0.14678605341094397,0.4837122885333441,0.4223033753498578,1.0076729684001564,3.2953559094550857,1,4
disjoint_h,random_forest,True,0.14818296733595515,0.541199818398934,0.44105767783993133,1.1124791339852032,3.652240389895453,2,5
disjoint_h,ridge_loglinear,True,0.21455498981365373,0.33858104524465626,0.38201820559350363,0.537925784618225,1.5780618550923575,3,3
disjoint_h,powerlaw_collisionless,True,0.2147981119892272,0.3231409440214678,0.36548319305979327,0.517949398122198,1.5043937818116129,4,2
disjoint_h,"IPB98(y,2)",False,0.2510527559046555,0.27865105396053635,0.2532902492948086,0.4102313765036077,1.109930273246481,5,1
non_h,random_forest,True,0.12578574508502402,0.8700065226243339,0.610486352008122,1.939036063799758,6.916574863361972,1,5
non_h,hist_gradient_boosting,True,0.12598563949941854,0.8507807099155048,0.5711851972197491,1.8870858941577773,6.752997510636372,2,4
non_h,ridge_loglinear,True,0.23538955672899933,0.4115039045741738,0.5692522177460618,0.6130895598014072,1.7481825034741554,3,3
non_h,powerlaw_collisionless,True,0.23593609402484872,0.34261326165114553,0.45605319024479624,0.5049351499792377,1.4521443319946696,4,1
non_h,ITER89-P,False,0.38703262729979027,0.3818413814846404,0.37454430132773164,0.4238271105403414,0.9865870589480592,5,2
