solver,condition_number,trial,relative_forward_error,failed
cholesky,10.0,0,5.912287798149058e-15,False
qr,10.0,0,8.062863342063484e-16,False
svd,10.0,0,1.3577910145765002e-15,False
cholesky,10.0,1,6.327973994533287e-15,False
qr,10.0,1,5.446844313733772e-16,False
svd,10.0,1,9.953265282159855e-16,False
cholesky,10.0,2,8.920095877492422e-15,False
qr,10.0,2,2.6422520788909847e-16,False
svd,10.0,2,1.0895665444489587e-15,False
cholesky,10.0,3,7.5904902633035e-15,False
qr,10.0,3,3.976416080268664e-16,False
svd,10.0,3,1.378938227076731e-15,False
cholesky,10.0,4,4.657832997277572e-15,False
qr,10.0,4,6.13925476028306e-16,False
svd,10.0,4,1.3084185597758136e-15,False
cholesky,10.0,5,4.716285332416615e-15,False
qr,10.0,5,1.0116888870032277e-15,False
svd,10.0,5,2.739220101933295e-15,False
cholesky,10.0,6,7.670250465220815e-15,False
qr,10.0,6,5.250799068724543e-16,False
svd,10.0,6,1.0487834569100336e-15,False
cholesky,10.0,7,2.197869314489426e-15,False
qr,10.0,7,6.374441991886425e-16,False
svd,10.0,7,2.9839386900175573e-15,False
cholesky,10.0,8,1.993038930684801e-15,False
qr,10.0,8,3.6444884733098137e-16,False
svd,10.0,8,1.849419900450095e-15,False
cholesky,10.0,9,1.0377941113584551e-14,False
qr,10.0,9,5.545908510953292e-16,False
svd,10.0,9,2.4670085563812103e-15,False
cholesky,10.0,10,9.45601187823318e-15,False
qr,10.0,10,6.228406209040953e-16,False
svd,10.0,10,1.0256661659004444e-15,False
cholesky,10.0,11,4.701790617934565e-15,False
qr,10.0,11,5.165166459527145e-16,False
svd,10.0,11,8.433825209896254e-16,False
cholesky,100.0,0,1.8072845375422254e-13,False
qr,100.0,0,1.447836420221455e-15,False
svd,100.0,0,1.6033500209773544e-15,False
cholesky,100.0,1,7.758486545117478e-13,False
qr,100.0,1,1.6946792337411915e-15,False
svd,100.0,1,1.761892460361158e-15,False
cholesky,100.0,2,5.151907394348434e-13,False
qr,100.0,2,8.24882445777585e-16,False
svd,100.0,2,2.8393899591636593e-15,False
cholesky,100.0,3,3.350000690750309e-13,False
qr,100.0,3,9.274786302985956e-16,False
svd,100.0,3,1.2596194955211543e-15,False
cholesky,100.0,4,4.291756979139457e-13,False
qr,100.0,4,9.441231521952114e-16,False
svd,100.0,4,2.1580406267657205e-15,False
cholesky,100.0,5,2.885725042532902e-13,False
qr,100.0,5,1.2478438844811799e-15,False
svd,100.0,5,2.4187196611163246e-15,False
cholesky,100.0,6,2.152066178546774e-13,False
qr,100.0,6,8.556623557238467e-16,False
svd,100.0,6,1.8536875924468734e-15,False
cholesky,100.0,7,2.391185386449449e-13,False
qr,100.0,7,1.0537070811849192e-15,False
svd,100.0,7,2.1631994789842357e-15,False
cholesky,100.0,8,2.1906958069592566e-13,False
qr,100.0,8,2.277987190955421e-15,False
svd,100.0,8,2.1690676017919725e-15,False
cholesky,100.0,9,2.300446191269915e-13,False
qr,100.0,9,2.0803262191378925e-15,False
svd,100.0,9,2.7757310284898174e-15,False
cholesky,100.0,10,1.758861749432943e-13,False
qr,100.0,10,8.135094818992978e-16,False
svd,100.0,10,1.30344587056899e-15,False
cholesky,100.0,11,5.933667600377042e-13,False
qr,100.0,11,1.0034321974730762e-15,False
svd,100.0,11,2.0154470953006252e-15,False
cholesky,1000.0,0,3.269795388888604e-11,False
qr,1000.0,0,3.2942138462225427e-15,False
svd,1000.0,0,2.1453641604857244e-15,False
cholesky,1000.0,1,1.8243810839539898e-11,False
qr,1000.0,1,5.1072710313627774e-15,False
svd,1000.0,1,3.3102015004898642e-15,False
cholesky,1000.0,2,4.751079443734599e-11,False
qr,1000.0,2,2.2625198152952857e-14,False
svd,1000.0,2,2.3559442512256758e-14,False
cholesky,1000.0,3,3.286174144725708e-11,False
qr,1000.0,3,8.380101379531859e-15,False
svd,1000.0,3,2.1601041572361298e-15,False
cholesky,1000.0,4,3.271428665320805e-11,False
qr,1000.0,4,5.124084288468919e-15,False
svd,1000.0,4,1.533938113826447e-14,False
cholesky,1000.0,5,1.4089829143172143e-11,False
qr,1000.0,5,5.00393848812786e-15,False
svd,1000.0,5,1.1098794962291417e-14,False
cholesky,1000.0,6,6.027954157493852e-12,False
qr,1000.0,6,1.0256370605846116e-14,False
svd,1000.0,6,2.903742636069409e-15,False
cholesky,1000.0,7,3.062917870925268e-11,False
qr,1000.0,7,5.44072117910251e-15,False
svd,1000.0,7,5.577361241960597e-15,False
cholesky,1000.0,8,1.2594033374981241e-11,False
qr,1000.0,8,3.215322012640952e-15,False
svd,1000.0,8,7.597694541210266e-15,False
cholesky,1000.0,9,2.8462416983237906e-11,False
qr,1000.0,9,1.741861715606966e-14,False
svd,1000.0,9,2.9401258050321444e-14,False
cholesky,1000.0,10,3.684803500276104e-11,False
qr,1000.0,10,4.951027225762304e-15,False
svd,1000.0,10,9.530927724261895e-15,False
cholesky,1000.0,11,1.5268079893525434e-11,False
qr,1000.0,11,3.6318879291180104e-15,False
svd,1000.0,11,1.3939625203197365e-14,False
cholesky,10000.0,0,2.32933281046042e-09,False
qr,10000.0,0,8.306130510822359e-14,False
svd,10000.0,0,7.097008522893116e-14,False
cholesky,10000.0,1,5.170969766021299e-09,False
qr,10000.0,1,6.553178395605715e-14,False
svd,10000.0,1,3.3189169839342203e-14,False
cholesky,10000.0,2,1.3926163419559036e-09,False
qr,10000.0,2,9.07543926088073e-15,False
svd,10000.0,2,1.086575452245965e-14,False
cholesky,10000.0,3,1.8661347007919736e-09,False
qr,10000.0,3,8.688740213660195e-14,False
svd,10000.0,3,4.152963684901413e-14,False
cholesky,10000.0,4,1.30311926514145e-09,False
qr,10000.0,4,3.5739429650919106e-14,False
svd,10000.0,4,5.3404253773560124e-14,False
cholesky,10000.0,5,1.1453791096740174e-09,False
qr,10000.0,5,4.210349574929613e-14,False
svd,10000.0,5,3.0170677744761274e-14,False
cholesky,10000.0,6,7.778679164178623e-09,False
qr,10000.0,6,9.263851819166512e-14,False
svd,10000.0,6,9.85003217078933e-14,False
cholesky,10000.0,7,2.7895679865112726e-09,False
qr,10000.0,7,1.8160360075791796e-13,False
svd,10000.0,7,1.9215974247375272e-13,False
cholesky,10000.0,8,9.945981937129392e-09,False
qr,10000.0,8,3.1822768695129024e-14,False
svd,10000.0,8,2.0520670403469688e-14,False
cholesky,10000.0,9,1.3323209301839757e-09,False
qr,10000.0,9,3.764479653183867e-14,False
svd,10000.0,9,4.3164059235244674e-14,False
cholesky,10000.0,10,1.9073525274157913e-09,False
qr,10000.0,10,8.066491351772554e-14,False
svd,10000.0,10,4.951209467049184e-14,False
cholesky,10000.0,11,7.901136163350806e-10,False
qr,10000.0,11,2.8023622540523514e-14,False
svd,10000.0,11,1.655555159301298e-14,False
cholesky,100000.0,0,2.01200365565705e-07,False
qr,100000.0,0,7.075471683113556e-13,False
svd,100000.0,0,7.488008892775679e-13,False
cholesky,100000.0,1,1.0123247067040931e-07,False
qr,100000.0,1,3.94877624433821e-13,False
svd,100000.0,1,8.314912815959829e-13,False
cholesky,100000.0,2,2.8622196336727955e-08,False
qr,100000.0,2,3.87209612506546e-13,False
svd,100000.0,2,6.565007029952625e-13,False
cholesky,100000.0,3,6.275501641062056e-08,False
qr,100000.0,3,4.955379354261536e-13,False
svd,100000.0,3,2.558560661808766e-13,False
cholesky,100000.0,4,1.6893413359130446e-07,False
qr,100000.0,4,4.5012824256999724e-13,False
svd,100000.0,4,2.6541086532583473e-13,False
cholesky,100000.0,5,2.9552624814336096e-07,False
qr,100000.0,5,6.482890249807541e-13,False
svd,100000.0,5,3.346274030605356e-13,False
cholesky,100000.0,6,2.232313634203118e-07,False
qr,100000.0,6,8.731169991052689e-13,False
svd,100000.0,6,4.141834441072443e-13,False
cholesky,100000.0,7,2.625980022498037e-07,False
qr,100000.0,7,4.0802220918916787e-13,False
svd,100000.0,7,5.41891369267678e-13,False
cholesky,100000.0,8,3.314206374051595e-07,False
qr,100000.0,8,4.810047777665252e-13,False
svd,100000.0,8,5.099470869856528e-13,False
cholesky,100000.0,9,1.506200303992463e-07,False
qr,100000.0,9,5.533467278290011e-13,False
svd,100000.0,9,4.975572135061827e-13,False
cholesky,100000.0,10,5.378099571501564e-07,False
qr,100000.0,10,4.2095227291567824e-14,False
svd,100000.0,10,3.820418398641804e-13,False
cholesky,100000.0,11,1.5826075904696198e-07,False
qr,100000.0,11,7.72241161778916e-13,False
svd,100000.0,11,5.920443669620637e-13,False
cholesky,1000000.0,0,1.4490599817091966e-05,False
qr,1000000.0,0,4.533089100350798e-12,False
svd,1000000.0,0,8.058313627171416e-12,False
cholesky,1000000.0,1,1.9572545313816897e-05,False
qr,1000000.0,1,1.7990242412482318e-12,False
svd,1000000.0,1,6.5363031240806955e-12,False
cholesky,1000000.0,2,2.8913558798477948e-05,False
qr,1000000.0,2,3.6321208294823776e-12,False
svd,1000000.0,2,1.759323200317372e-12,False
cholesky,1000000.0,3,7.2094693490281e-05,False
qr,1000000.0,3,2.828919692958896e-12,False
svd,1000000.0,3,4.567740510689051e-12,False
cholesky,1000000.0,4,4.1212638262109144e-05,False
qr,1000000.0,4,2.1503082028609876e-12,False
svd,1000000.0,4,1.415669618041908e-12,False
cholesky,1000000.0,5,2.22175552656999e-06,False
qr,1000000.0,5,5.409332326746789e-13,False
svd,1000000.0,5,4.000378650408597e-12,False
cholesky,1000000.0,6,1.6915617465234308e-05,False
qr,1000000.0,6,9.11291938834918e-13,False
svd,1000000.0,6,9.103902583117945e-12,False
cholesky,1000000.0,7,4.976620443569162e-06,False
qr,1000000.0,7,3.3877785909810873e-12,False
svd,1000000.0,7,1.2244208100448797e-12,False
cholesky,1000000.0,8,6.422616519772482e-05,False
qr,1000000.0,8,6.911601045676799e-12,False
svd,1000000.0,8,4.067871563104603e-12,False
cholesky,1000000.0,9,2.945451064537276e-06,False
qr,1000000.0,9,2.1726575637188183e-12,False
svd,1000000.0,9,1.845880043047476e-12,False
cholesky,1000000.0,10,3.311156162219786e-05,False
qr,1000000.0,10,1.1487269023052148e-11,False
svd,1000000.0,10,6.6007699066243e-12,False
cholesky,1000000.0,11,2.5356578959313866e-05,False
qr,1000000.0,11,2.0417631358212904e-12,False
svd,1000000.0,11,1.5412936788156849e-12,False
cholesky,10000000.0,0,0.0015553279236571274,False
qr,10000000.0,0,3.773469069059865e-11,False
svd,10000000.0,0,5.461634777907045e-11,False
cholesky,10000000.0,1,0.000859227064112873,False
qr,10000000.0,1,7.215488327498488e-11,False
svd,10000000.0,1,7.487661968210518e-11,False
cholesky,10000000.0,2,0.0021773121231814527,False
qr,10000000.0,2,1.923546990769179e-11,False
svd,10000000.0,2,1.2418734267099156e-11,False
cholesky,10000000.0,3,0.0008462022725465271,False
qr,10000000.0,3,1.7971677724569365e-10,False
svd,10000000.0,3,1.1360002066107366e-10,False
cholesky,10000000.0,4,0.0018401578652035018,False
qr,10000000.0,4,1.1448292353285278e-11,False
svd,10000000.0,4,2.1952216612035228e-11,False
cholesky,10000000.0,5,0.0009690713652616037,False
qr,10000000.0,5,9.421283977514941e-11,False
svd,10000000.0,5,3.721187946122623e-11,False
cholesky,10000000.0,6,0.0065570826507272036,False
qr,10000000.0,6,2.2137125683824967e-11,False
svd,10000000.0,6,6.779274014151337e-11,False
cholesky,10000000.0,7,0.001847818201932656,False
qr,10000000.0,7,1.8096448110985552e-11,False
svd,10000000.0,7,3.746507636761823e-11,False
cholesky,10000000.0,8,0.003257310186602372,False
qr,10000000.0,8,5.587777925045182e-11,False
svd,10000000.0,8,6.126039028984921e-11,False
cholesky,10000000.0,9,0.003932012326654407,False
qr,10000000.0,9,4.353337027104606e-11,False
svd,10000000.0,9,1.9235698911058185e-11,False
cholesky,10000000.0,10,0.0026918178317939163,False
qr,10000000.0,10,6.384437580776362e-11,False
svd,10000000.0,10,4.5513098856365275e-11,False
cholesky,10000000.0,11,0.0038315264919425744,False
qr,10000000.0,11,3.668203268063437e-11,False
svd,10000000.0,11,9.049509212224718e-11,False
cholesky,100000000.0,0,0.14231464685436945,False
qr,100000000.0,0,6.936199325527838e-10,False
svd,100000000.0,0,1.7528718807394098e-10,False
cholesky,100000000.0,1,0.14326760303445507,False
qr,100000000.0,1,3.41349177462028e-10,False
svd,100000000.0,1,1.2217147026759666e-10,False
cholesky,100000000.0,2,0.132432259226937,False
qr,100000000.0,2,1.8152404892816134e-10,False
svd,100000000.0,2,1.9722093019624343e-10,False
cholesky,100000000.0,3,0.07005183903325311,False
qr,100000000.0,3,5.509543912712138e-10,False
svd,100000000.0,3,4.880634980317967e-10,False
cholesky,100000000.0,4,0.11421612973220628,False
qr,100000000.0,4,1.6027479217815687e-10,False
svd,100000000.0,4,2.311536932474279e-10,False
cholesky,100000000.0,5,0.7311365892640872,False
qr,100000000.0,5,1.6154236164882378e-09,False
svd,100000000.0,5,4.129273295938082e-10,False
cholesky,100000000.0,6,0.06926560527765396,False
qr,100000000.0,6,1.7178992668852914e-09,False
svd,100000000.0,6,4.980617906280327e-10,False
cholesky,100000000.0,7,0.17478911602709452,False
qr,100000000.0,7,1.5493198458295716e-09,False
svd,100000000.0,7,7.752211738806333e-10,False
cholesky,100000000.0,8,0.07420280959345456,False
qr,100000000.0,8,1.241988403005222e-10,False
svd,100000000.0,8,4.9736463783549415e-11,False
cholesky,100000000.0,9,0.2023306417514595,False
qr,100000000.0,9,1.669511365223351e-10,False
svd,100000000.0,9,2.4919314833637747e-10,False
cholesky,100000000.0,10,1.5351675778482103,False
qr,100000000.0,10,5.633108758548374e-10,False
svd,100000000.0,10,1.2759917578995679e-10,False
cholesky,100000000.0,11,0.3826814264183476,False
qr,100000000.0,11,1.1704126690583332e-09,False
svd,100000000.0,11,2.2448336054099634e-09,False
cholesky,1000000000.0,0,,True
qr,1000000000.0,0,3.638568077820276e-09,False
svd,1000000000.0,0,3.546559004017579e-09,False
cholesky,1000000000.0,1,0.6934476352153096,False
qr,1000000000.0,1,1.7175915367003169e-09,False
svd,1000000000.0,1,1.6472349312491947e-09,False
cholesky,1000000000.0,2,,True
qr,1000000000.0,2,1.016481921002102e-09,False
svd,1000000000.0,2,4.237123162863496e-10,False
cholesky,1000000000.0,3,,True
qr,1000000000.0,3,1.7498010816997217e-09,False
svd,1000000000.0,3,7.283822316487363e-10,False
cholesky,1000000000.0,4,1.9790042768656184,False
qr,1000000000.0,4,1.0599940529598703e-08,False
svd,1000000000.0,4,6.497936350578288e-09,False
cholesky,1000000000.0,5,0.3632337546730685,False
qr,1000000000.0,5,1.1546300951864786e-09,False
svd,1000000000.0,5,3.453806296100473e-10,False
cholesky,1000000000.0,6,,True
qr,1000000000.0,6,5.443068095976135e-09,False
svd,1000000000.0,6,3.9700706282460246e-09,False
cholesky,1000000000.0,7,,True
qr,1000000000.0,7,1.0580696775014242e-08,False
svd,1000000000.0,7,7.264790647870123e-09,False
cholesky,1000000000.0,8,,True
qr,1000000000.0,8,3.74738911446275e-09,False
svd,1000000000.0,8,2.2937713277926883e-09,False
cholesky,1000000000.0,9,1.3903073483761217,False
qr,1000000000.0,9,8.524652042695331e-09,False
svd,1000000000.0,9,8.511956437633012e-09,False
cholesky,1000000000.0,10,,True
qr,1000000000.0,10,4.5546449321066526e-09,False
svd,1000000000.0,10,4.197887437737136e-09,False
cholesky,1000000000.0,11,,True
qr,1000000000.0,11,6.6660491087424e-09,False
svd,1000000000.0,11,7.0059081865392325e-09,False
cholesky,10000000000.0,0,,True
qr,10000000000.0,0,4.1063523179257874e-08,False
svd,10000000000.0,0,2.406243530424466e-08,False
cholesky,10000000000.0,1,,True
qr,10000000000.0,1,2.1260440651960897e-08,False
svd,10000000000.0,1,3.530479194627794e-08,False
cholesky,10000000000.0,2,,True
qr,10000000000.0,2,2.703330352543234e-08,False
svd,10000000000.0,2,8.678973727867641e-09,False
cholesky,10000000000.0,3,,True
qr,10000000000.0,3,1.0646789996337418e-08,False
svd,10000000000.0,3,1.1202161847404037e-08,False
cholesky,10000000000.0,4,,True
qr,10000000000.0,4,9.06271824036292e-09,False
svd,10000000000.0,4,5.702919523106111e-10,False
cholesky,10000000000.0,5,,True
qr,10000000000.0,5,9.057976986712076e-09,False
svd,10000000000.0,5,6.865840485155297e-09,False
cholesky,10000000000.0,6,,True
qr,10000000000.0,6,5.983151107454794e-09,False
svd,10000000000.0,6,4.504794521679991e-09,False
cholesky,10000000000.0,7,,True
qr,10000000000.0,7,2.7222413858142085e-08,False
svd,10000000000.0,7,2.984748804164582e-08,False
cholesky,10000000000.0,8,,True
qr,10000000000.0,8,9.222830857991244e-09,False
svd,10000000000.0,8,4.824855254112386e-09,False
cholesky,10000000000.0,9,,True
qr,10000000000.0,9,9.920411623810398e-09,False
svd,10000000000.0,9,1.313084474675699e-08,False
cholesky,10000000000.0,10,,True
qr,10000000000.0,10,1.405778421802279e-08,False
svd,10000000000.0,10,4.365274001516026e-09,False
cholesky,10000000000.0,11,,True
qr,10000000000.0,11,1.5591040116435257e-08,False
svd,10000000000.0,11,1.5074414811307284e-08,False
cholesky,100000000000.0,0,,True
qr,100000000000.0,0,5.616191793777584e-07,False
svd,100000000000.0,0,1.0921980698590531e-07,False
cholesky,100000000000.0,1,,True
qr,100000000000.0,1,4.6185209379605754e-07,False
svd,100000000000.0,1,3.634215544645821e-07,False
cholesky,100000000000.0,2,,True
qr,100000000000.0,2,1.129298413975099e-06,False
svd,100000000000.0,2,2.0306545242701448e-07,False
cholesky,100000000000.0,3,,True
qr,100000000000.0,3,2.882435357053987e-07,False
svd,100000000000.0,3,4.1076591989146066e-07,False
cholesky,100000000000.0,4,,True
qr,100000000000.0,4,5.926753725478211e-07,False
svd,100000000000.0,4,4.5206296088036695e-07,False
cholesky,100000000000.0,5,,True
qr,100000000000.0,5,1.1235552510228487e-07,False
svd,100000000000.0,5,1.1416863431343699e-07,False
cholesky,100000000000.0,6,,True
qr,100000000000.0,6,1.8623372377198374e-07,False
svd,100000000000.0,6,3.4689927333839e-07,False
cholesky,100000000000.0,7,,True
qr,100000000000.0,7,6.598420062430631e-07,False
svd,100000000000.0,7,8.253742397566915e-07,False
