group,estimator,score,n_train_rows,n_held_out_rows,mahalanobis,n_features_outside_train_range,fraction_above_train_max,fraction_below_train_min,log_target_headroom,prediction_bounded_by_train_range,n_features
Pinus taeda,powerlaw_loglinear,0.20886134634592307,3535,64,3.5092090599325094,0,0.0,0.0,-2.12453423734365,True,1
Pinus taeda,random_forest,0.5331595446958067,3535,64,3.5092090599325094,0,0.0,0.0,-2.12453423734365,True,1
Pinus taeda,hist_gradient_boosting,0.8112479098648999,3535,64,3.5092090599325094,0,0.0,0.0,-2.12453423734365,True,1
Acer saccharum,powerlaw_loglinear,0.7042882342372148,3315,284,0.22517582269999542,0,0.0,0.0,-5.081170288042745,True,1
Acer saccharum,random_forest,0.704137464127298,3315,284,0.22517582269999542,0,0.0,0.0,-5.081170288042745,True,1
Acer saccharum,hist_gradient_boosting,0.6987888791184683,3315,284,0.22517582269999542,0,0.0,0.0,-5.081170288042745,True,1
Betula alleghaniensis,powerlaw_loglinear,0.49952061296253353,3290,309,1.0369443013864093,0,0.0,0.012944983818770227,-4.539201682042382,True,1
Betula alleghaniensis,random_forest,0.5970669726212687,3290,309,1.0369443013864093,0,0.0,0.012944983818770227,-4.539201682042382,True,1
Betula alleghaniensis,hist_gradient_boosting,0.534499640592348,3290,309,1.0369443013864093,0,0.0,0.012944983818770227,-4.539201682042382,True,1
Goupia glabra Aubl. ,powerlaw_loglinear,0.5347271443467463,3511,88,0.8672974237887551,0,0.0,0.0,-10.12473083902838,True,1
Goupia glabra Aubl. ,random_forest,0.6154665291950419,3511,88,0.8672974237887551,0,0.0,0.0,-10.12473083902838,True,1
Goupia glabra Aubl. ,hist_gradient_boosting,0.5501849886044226,3511,88,0.8672974237887551,0,0.0,0.0,-10.12473083902838,True,1
Jacaranda copaia (Aubl.) D. Don ,powerlaw_loglinear,0.5036934156880803,3498,101,0.42692748547828285,0,0.0,0.0,-9.62198535759035,True,1
Jacaranda copaia (Aubl.) D. Don ,random_forest,0.6281680535965152,3498,101,0.42692748547828285,0,0.0,0.0,-9.62198535759035,True,1
Jacaranda copaia (Aubl.) D. Don ,hist_gradient_boosting,0.5376792834295002,3498,101,0.42692748547828285,0,0.0,0.0,-9.62198535759035,True,1
Qualea rosea Aubl.,powerlaw_loglinear,0.5440493146245361,3544,55,1.1715818259923996,0,0.0,0.0,-11.030319767803759,True,1
Qualea rosea Aubl.,random_forest,0.6614820181896596,3544,55,1.1715818259923996,0,0.0,0.0,-11.030319767803759,True,1
Qualea rosea Aubl.,hist_gradient_boosting,0.5498180456695038,3544,55,1.1715818259923996,0,0.0,0.0,-11.030319767803759,True,1
Recordoxylon speciosum (Benoist) ,powerlaw_loglinear,0.31837771551316146,3488,111,0.8348429192767318,0,0.0,0.0,-10.758447870389558,True,1
Recordoxylon speciosum (Benoist) ,random_forest,0.4728145260578666,3488,111,0.8348429192767318,0,0.0,0.0,-10.758447870389558,True,1
Recordoxylon speciosum (Benoist) ,hist_gradient_boosting,0.34035461939274986,3488,111,0.8348429192767318,0,0.0,0.0,-10.758447870389558,True,1
Dicorynia guianensis Amshoff ,powerlaw_loglinear,0.5001207073732769,3488,111,0.3597753956030214,0,0.0,0.0,-9.863551536457596,True,1
Dicorynia guianensis Amshoff ,random_forest,0.6022862192951507,3488,111,0.3597753956030214,0,0.0,0.0,-9.863551536457596,True,1
Dicorynia guianensis Amshoff ,hist_gradient_boosting,0.5240309664154185,3488,111,0.3597753956030214,0,0.0,0.0,-9.863551536457596,True,1
Sextonia rubra (Mez) van der Werff,powerlaw_loglinear,0.34064694024870945,3520,79,0.4506233253437601,0,0.0,0.0,-10.222616059888432,True,1
Sextonia rubra (Mez) van der Werff,random_forest,0.4077005903777406,3520,79,0.4506233253437601,0,0.0,0.0,-10.222616059888432,True,1
Sextonia rubra (Mez) van der Werff,hist_gradient_boosting,0.37041092100096273,3520,79,0.4506233253437601,0,0.0,0.0,-10.222616059888432,True,1
Virola michelii Heckel,powerlaw_loglinear,0.8528380830063866,3482,117,0.04011831323879597,0,0.0,0.0,-9.695068214328828,True,1
Virola michelii Heckel,random_forest,0.987215614049907,3482,117,0.04011831323879597,0,0.0,0.0,-9.695068214328828,True,1
Virola michelii Heckel,hist_gradient_boosting,0.8773312546171603,3482,117,0.04011831323879597,0,0.0,0.0,-9.695068214328828,True,1
Eperua falcata Aubl.,powerlaw_loglinear,0.36598253710700823,3484,115,0.14868509382763548,0,0.0,0.0,-8.942529358582679,True,1
Eperua falcata Aubl.,random_forest,0.5898234771269875,3484,115,0.14868509382763548,0,0.0,0.0,-8.942529358582679,True,1
Eperua falcata Aubl.,hist_gradient_boosting,0.4389862934206182,3484,115,0.14868509382763548,0,0.0,0.0,-8.942529358582679,True,1
Eperua grandiflora (Aubl.) Benth. ,powerlaw_loglinear,0.3253087445878267,3510,89,0.699430251973936,0,0.0,0.0,-8.210147023587188,True,1
Eperua grandiflora (Aubl.) Benth. ,random_forest,0.47282276961686276,3510,89,0.699430251973936,0,0.0,0.0,-8.210147023587188,True,1
Eperua grandiflora (Aubl.) Benth. ,hist_gradient_boosting,0.3870335091752936,3510,89,0.699430251973936,0,0.0,0.0,-8.210147023587188,True,1
Cedrela odorata,powerlaw_loglinear,0.6680766630163872,3532,67,0.6980856282673185,0,0.0,0.0,-2.163579528658009,True,1
Cedrela odorata,random_forest,0.5992072462503177,3532,67,0.6980856282673185,0,0.0,0.0,-2.163579528658009,True,1
Cedrela odorata,hist_gradient_boosting,0.6549876871364623,3532,67,0.6980856282673185,0,0.0,0.0,-2.163579528658009,True,1
Fagus grandifolia,powerlaw_loglinear,0.7192738673781974,3383,216,0.35282740646311916,0,0.0,0.0,-9.095173905054882,True,1
Fagus grandifolia,random_forest,0.6660685011307045,3383,216,0.35282740646311916,0,0.0,0.0,-9.095173905054882,True,1
Fagus grandifolia,hist_gradient_boosting,0.6827624501105469,3383,216,0.35282740646311916,0,0.0,0.0,-9.095173905054882,True,1
Eucalyptus saligna,powerlaw_loglinear,0.7054222778604973,3383,216,0.4896303732850048,0,0.0,0.0,-6.831827021211907,True,1
Eucalyptus saligna,random_forest,0.7650420778895047,3383,216,0.4896303732850048,0,0.0,0.0,-6.831827021211907,True,1
Eucalyptus saligna,hist_gradient_boosting,0.7179610326610746,3383,216,0.4896303732850048,0,0.0,0.0,-6.831827021211907,True,1
Eucalyptus sideroxylon,powerlaw_loglinear,0.8742151515302378,3492,107,0.4226958679178489,0,0.0,0.0,-7.645848832386245,True,1
Eucalyptus sideroxylon,random_forest,0.9401102763205145,3492,107,0.4226958679178489,0,0.0,0.0,-7.645848832386245,True,1
Eucalyptus sideroxylon,hist_gradient_boosting,0.9418482048720888,3492,107,0.4226958679178489,0,0.0,0.0,-7.645848832386245,True,1
Aspidosperma ramiflorum,powerlaw_loglinear,0.38347871863518024,3530,69,0.812657738371312,0,0.0,0.0,-10.123506955669036,True,1
Aspidosperma ramiflorum,random_forest,0.42844991149811795,3530,69,0.812657738371312,0,0.0,0.0,-10.123506955669036,True,1
Aspidosperma ramiflorum,hist_gradient_boosting,0.41457236139283926,3530,69,0.812657738371312,0,0.0,0.0,-10.123506955669036,True,1
Aspidosperma tambopatense,powerlaw_loglinear,0.7024867827104768,3481,118,0.02685697975072828,0,0.0,0.0,-9.245144744057024,True,1
Aspidosperma tambopatense,random_forest,0.6859168749276894,3481,118,0.02685697975072828,0,0.0,0.0,-9.245144744057024,True,1
Aspidosperma tambopatense,hist_gradient_boosting,0.7106368423569911,3481,118,0.02685697975072828,0,0.0,0.0,-9.245144744057024,True,1
Pouteria sp.,powerlaw_loglinear,0.3857898435427247,3485,114,0.29561111184248834,0,0.0,0.0,-9.341951505976827,True,1
Pouteria sp.,random_forest,0.44766345492014387,3485,114,0.29561111184248834,0,0.0,0.0,-9.341951505976827,True,1
Pouteria sp.,hist_gradient_boosting,0.4443644988233631,3485,114,0.29561111184248834,0,0.0,0.0,-9.341951505976827,True,1
Euterpe precatoria,powerlaw_loglinear,0.7231373486949875,3560,39,0.41227407862501725,0,0.0,0.0,-10.96905900555696,True,1
Euterpe precatoria,random_forest,0.7484311678224044,3560,39,0.41227407862501725,0,0.0,0.0,-10.96905900555696,True,1
Euterpe precatoria,hist_gradient_boosting,0.7336496241410032,3560,39,0.41227407862501725,0,0.0,0.0,-10.96905900555696,True,1
Cedrelinga catanaeformis,powerlaw_loglinear,0.4400858781037862,3542,57,0.14758819500695688,0,0.0,0.0,-8.983199386249293,True,1
Cedrelinga catanaeformis,random_forest,0.4157994668364616,3542,57,0.14758819500695688,0,0.0,0.0,-8.983199386249293,True,1
Cedrelinga catanaeformis,hist_gradient_boosting,0.44239754168591855,3542,57,0.14758819500695688,0,0.0,0.0,-8.983199386249293,True,1
Tachigali vasquezii,powerlaw_loglinear,0.6243229382431872,3530,69,0.002471748337779425,0,0.0,0.0,-8.329100866605359,True,1
Tachigali vasquezii,random_forest,0.7379517951486692,3530,69,0.002471748337779425,0,0.0,0.0,-8.329100866605359,True,1
Tachigali vasquezii,hist_gradient_boosting,0.6781943210650663,3530,69,0.002471748337779425,0,0.0,0.0,-8.329100866605359,True,1
Berholletia excelsa,powerlaw_loglinear,0.335181054951001,3544,55,0.7965440230974761,0,0.0,0.0,-7.585655687695272,True,1
Berholletia excelsa,random_forest,0.5589637099633756,3544,55,0.7965440230974761,0,0.0,0.0,-7.585655687695272,True,1
Berholletia excelsa,hist_gradient_boosting,0.42208624365084857,3544,55,0.7965440230974761,0,0.0,0.0,-7.585655687695272,True,1
Cecropia ficifolia,powerlaw_loglinear,0.6127045367326185,3544,55,0.3799357576455341,0,0.0,0.0,-8.92440357996254,True,1
Cecropia ficifolia,random_forest,0.5068295264418682,3544,55,0.3799357576455341,0,0.0,0.0,-8.92440357996254,True,1
Cecropia ficifolia,hist_gradient_boosting,0.6002788425722255,3544,55,0.3799357576455341,0,0.0,0.0,-8.92440357996254,True,1
Bellucia pentamera,powerlaw_loglinear,0.6262683494108882,3539,60,0.4217313322370147,0,0.0,0.0,-9.23187563756538,True,1
Bellucia pentamera,random_forest,0.7081928415983402,3539,60,0.4217313322370147,0,0.0,0.0,-9.23187563756538,True,1
Bellucia pentamera,hist_gradient_boosting,0.6960344790788092,3539,60,0.4217313322370147,0,0.0,0.0,-9.23187563756538,True,1
Theobroma speciosum,powerlaw_loglinear,0.32318197146305494,3527,72,0.5523810330480415,0,0.0,0.0,-10.892309023940399,True,1
